rowid,query,grams
3301,frozen chopped spinach,283.5
3302,Swiss cheese,226.8
3303,broccoli crown,226.8
3304,sliced olives,63.8
3305,Italian Dressing,80.0
3306,cornstarch,5.2
3307,pork chops,680.4
3308,paprika,1.15
3309,boneless skinless chicken thighs,680.4
3310,black beans,425.0
3311,ranch dressing,60.0
3312,canned tuna,283.5
3313,apple cider vinegar,7.4
3314,jasmine rice,277.5
3315,sweet chili sauce,290.0
3316,pineapple tidbits in juice,226.8
3317,broccoli crown,453.6
3318,cooking oil,27.0
3319,green onions,30.0
3320,sweet chili sauce,145.0
3321,sesame seeds,6.0
3322,sweet corn,540.0
3323,mild chili powder,2.6
3324,black pepper,0.5
3325,brown rice,190.0
3326,chicken broth,435.75
3327,avocado,150.0
3328,sweet potatoes,1360.8
3329,cilantro,15.0
3330,yellow cornmeal,53.3
3331,vegetable oil,108.0
3332,sweet potato,450.0
3333,flour tortillas,200.0
3334,enchilada sauce,283.5
3335,bulgur,182.0
3336,fresh cilantro,16.0
3337,fresh parsley,60.0
3338,sweet potato,510.0
3339,yellow grits,160.0
3340,cinnamon,0.65
3341,masa harina,60.0
3343,chili powder,3.9
3344,tortilla chips,100.0
3345,iceberg lettuce,300.0
3346,ground beef,680.4
3347,black beans,340.0
3348,pinto beans,340.0
3349,taco seasoning,30.0
3350,jumbo shells,340.2
