rowid,query,grams
2801,parsley,60.0
2802,boneless skinless chicken breast,454.0
2803,black pepper,1.0
2804,ranch dressing,120.0
2805,water,414.0
2806,fresh spinach,120.0
2807,hummus,124.0
2808,salted butter,113.6
2809,potatoes,680.0
2810,parsley,15.0
2811,yellow onion,110.0
2812,worcestershire sauce,34.0
2813,beef broth,354.0
2814,shredded sweetened coconut,240.0
2815,granulated sugar,133.0
2816,egg whites,132.0
2817,orange,6.0
2818,semi-sweet chocolate,85.0
2819,coconut oil,1.0
2820,long grain white rice,185.0
2821,chicken breasts,680.0
2822,brown rice,190.0
2823,water,414.0
2824,boneless skinless chicken breasts,590.0
2825,salsa,454.0
2826,chili powder,2.6
2827,bell peppers,450.0
2828,vegetable oil,14.0
2829,sour cream,60.0
2830,small red potatoes,907.0
2831,white vinegar,237.0
2832,kosher salt,12.0
2833,chives,3.0
2834,garlic cloves,3.0
2835,kosher salt,0.75
2836,tomato paste,85.0
2837,ground cumin,4.2
2838,boneless beef roast,1361.0
2839,salt,3.0
2840,italian sausage,454.0
2841,frozen peppers and onions,227.0
2842,frozen kale,113.0
2843,seasoning salt,2.5
2844,smoked sausage,397.0
2845,bell peppers,450.0
2846,red potatoes,454.0
2847,olive oil,162.0
2848,kosher salt,21.0
2849,cherry tomatoes,300.0
2850,italian ground sausage,454.0
