rowid,query,grams
1701,Greek yogurt,123.0
1702,flatbread,180.0
1703,hummus,283.5
1704,lemon,58.0
1705,chicken pieces,1701.0
1706,red onion,110.0
1707,eggplant,432.0
1708,green bell peppers,238.0
1709,boneless skinless chicken breast,340.0
1710,olive oil,40.5
1711,black pepper,0.3
1712,feta cheese,113.0
1713,pita bread,240.0
1714,Greek yogurt,123.0
1715,dried dill,0.1
1716,ground turkey,539.0
1717,sun dried tomatoes,27.0
1718,red onion,40.0
1719,frozen spinach,57.0
1720,feta cheese,38.0
1721,hamburger buns,265.0
1722,lean ground turkey,539.0
1723,long grain white rice,185.0
1724,frozen spinach,113.0
1725,sun dried tomatoes,36.0
1726,kalamata olives,67.0
1727,feta cheese,28.0
1728,Monterey Jack cheese,113.0
1729,diced green chiles,113.0
1730,fresh cilantro,15.0
1731,fajita tortillas,196.0
1732,macaroni,227.0
1733,Monterey Jack cheese,227.0
1734,diced green chiles,227.0
1735,corn tortillas,144.0
1736,large eggs,400.0
1737,queso fresco,57.0
1738,salt,0.4
1739,ground turkey,539.0
1740,diced green chiles,113.0
1741,pepper jack cheese,57.0
1742,tomato,182.0
1743,avocado,201.0
1744,cucumbers,402.0
1745,white onion,110.0
1746,green bell pepper,119.0
1747,avocado,150.0
1748,fresh basil,24.0
1749,Italian parsley,15.0
1750,fennel,10.0
