rowid,query,grams
3052,acorn squash,680.39
3053,bell peppers,240.0
3054,deli mustard,5.0
3055,smoked sausage,340.2
3056,broccoli crown,453.592
3057,fresh parsley,10.0
3058,sweet potatoes,907.18
3059,cayenne pepper,0.25
3060,black peppercorns,0.5
3061,whole peeled tomatoes,793.8
3062,fresh parsley,10.0
3063,egg whites,66.0
3064,cream of tartar,0.4
3065,salt,0.75
3066,slivered almonds,66.0
3067,granulated sugar,50.0
3068,dark chocolate,56.7
3069,graham crackers,15.0
3070,elbow macaroni,226.0
3071,shredded cheese,113.0
3072,Italian sausage,340.2
3073,frozen broccoli,113.4
3074,long grain brown rice,380.0
3075,Dijon mustard,60.0
3076,chicken thighs,907.18
3077,sweet potato,453.592
3078,cooked rice,100.0
3079,frozen chopped spinach,78.0
3080,salt,0.75
3081,hot sauce,5.0
3082,purple cabbage,450.0
3083,ramen noodles,70.88
3084,Sriracha,30.0
3085,fresh cilantro,10.0
3086,old-fashioned rolled oats,120.0
3087,butter,57.0
3088,soy milk,243.0
3089,sweetened shredded coconut,27.0
3090,vermicelli noodles,226.8
3091,whole peeled tomatoes,793.8
3092,jalapeño,14.0
3093,tortilla strips,100.0
3094,long grain white rice,185.0
3095,shredded chicken,220.0
3096,chili powder,8.0
3097,chicken broth,414.0
3098,plain yogurt,184.0
3100,iceberg lettuce,550.0
