rowid,query,grams
801,feta cheese,56.7
802,turmeric,1.0
803,jasmine rice,370.0
804,cashews,60.0
805,dried fruit,40.0
806,cilantro,15.0
807,black tea bags,8.0
808,cinnamon sticks,8.0
809,fresh ginger,10.0
810,whole cloves,2.0
811,sugar,37.5
812,ground cardamom,0.5
813,milk,61.0
814,high heat oil,28.0
815,fresh sweet corn,540.0
816,zucchini,400.0
817,salt,0.5
818,cilantro,4.0
819,feta,56.7
820,plain breadcrumbs,30.0
821,onion,80.0
822,sharp cheddar,113.4
823,ground beef,453.6
824,ketchup,140.0
825,yellow mustard,5.0
826,water,946.0
827,quick cooking yellow grits,160.0
828,whole milk,122.0
829,medium cheddar,113.4
830,salsa,260.0
831,all purpose flour,240.0
832,shredded sharp cheddar,56.0
833,milk,81.0
834,ketchup,70.0
835,relish,15.0
836,apple cider vinegar,7.5
837,black pepper,1.0
838,ground beef,453.6
839,seasoning salt,1.0
840,romaine hearts,400.0
841,cheddar cheese,56.7
842,cauliflower,600.0
843,russet potatoes,680.4
844,vegetable broth,960.0
845,evaporated milk,340.0
846,medium cheddar,113.4
847,green onions,30.0
848,salt,6.0
849,shredded cheddar,113.4
850,beef broth,240.0
