rowid,query,grams
2701,green onion,15.0
2702,tomato sauce,226.8
2703,raspberry jam,340.0
2704,cider vinegar,60.0
2705,chipotle peppers in adobo,15.0
2706,chicken thighs,1814.4
2707,ravioli,255.2
2708,walnuts,30.0
2709,dried sage,0.5
2710,fresh spinach,113.4
2711,fresh cranberries,340.2
2712,orange,131.0
2713,lime,67.0
2714,ground cumin,1.0
2715,cayenne pepper,0.2
2716,onion powder,1.2
2717,brown sugar,4.2
2718,salt,3.0
2719,black pepper,0.5
2720,tomato paste,85.0
2721,macaroni,100.0
2722,medium cheddar cheese,85.0
2723,petite diced tomatoes,425.0
2724,artichoke hearts,170.0
2725,fresh parsley,15.0
2726,raw medium shrimp,226.8
2727,cooked rice,246.0
2728,all-purpose flour,120.0
2729,granulated sugar,12.5
2730,ricotta cheese,246.0
2731,vegetable oil,27.0
2732,broccoli crowns,453.6
2733,steak seasoning,5.0
2734,whole wheat penne pasta,226.8
2735,crumbled feta,28.4
2736,frozen broccoli florets,453.6
2737,vegetable oil,13.5
2738,chow mein noodles,45.0
2739,fresh brussels sprouts,453.6
2740,vegetarian italian sausage,340.2
2741,brussels sprouts,453.6
2742,sweet potatoes,453.6
2743,extra virgin olive oil,27.0
2744,chopped pecans,33.0
2745,goat cheese,56.7
2746,quinoa,340.0
2747,vegetable broth,720.0
2748,fresh cilantro,1.0
2749,black beans,425.0
2750,fresh cilantro,25.0
