rowid,query,grams
2501,lime,30.0
2502,vegetable broth,120.0
2503,extra firm tofu,396.9
2504,frozen stir fry vegetables,453.6
2505,cooked rice,474.0
2506,salt,8.5
2507,fresh baby spinach,113.4
2508,kidney beans,425.0
2509,pepperoni,85.05
2510,mozzarella,113.4
2511,Italian dressing,177.42
2512,Parmesan cheese,5.0
2513,black pepper,1.0
2514,boneless skinless chicken breasts,453.6
2515,mozzarella cheese,56.7
2516,pepperoni,35.44
2517,all purpose flour,60.0
2518,vegetable oil,88.8
2519,broccoli,907.2
2520,salt,1.5
2521,black pepper,0.5
2522,cooked chicken,140.0
2523,fresh broccoli,453.6
2524,red onion,40.0
2525,red onion,40.0
2526,fresh parsley,15.0
2527,bread,60.0
2528,pesto,30.0
2529,sun dried tomatoes,10.0
2530,mozzarella,56.7
2531,flour tortillas,360.0
2532,basil pesto,60.0
2533,mozzarella string cheese,112.0
2534,active dry yeast,6.0
2535,all purpose flour,240.0
2536,pepperoni,56.7
2537,pizza sauce,120.0
2538,peeled deveined shrimp,340.2
2539,angel hair pasta,226.8
2540,frozen spinach,226.8
2541,ricotta cheese,425.25
2542,basil pesto,120.0
2543,jumbo pasta shells,226.8
2544,pasta sauce,680.4
2545,olive oil,20.25
2546,red bell pepper,120.0
2547,minced garlic,8.5
2548,ground beef,453.6
2549,coarse salt,6.0
2550,sazon seasoning,6.3
