rowid,query,grams
3151,evaporated milk,123.0
3152,sharp cheddar cheese,113.4
3153,bow tie pasta,454.0
3154,smoked gouda cheese,56.7
3155,shredded Italian cheese,56.7
3156,frozen seafood mix,226.8
3157,red pepper flakes,0.5
3158,fettuccine,226.8
3159,fresh parsley,15.0
3160,peeled deveined shrimp,227.0
3161,crushed red pepper flakes,0.5
3162,sweet potatoes,907.0
3163,Creole seasoning,2.1
3164,cucumber,201.0
3165,carrot,61.0
3166,cooked rice,591.0
3167,sriracha hot sauce,72.0
3168,vegetable broth,413.0
3169,russet potatoes,1134.0
3170,fresh spinach,60.0
3171,crumbled feta,56.7
3172,lean ground turkey,454.0
3173,black pepper,0.6
3174,shredded mozzarella,226.8
3175,flour tortillas,215.0
3176,spinach artichoke dip,81.0
3177,flour tortilla,49.0
3178,rotisserie chicken,43.0
3179,hot sauce,0.6
3180,canned artichoke hearts,368.0
3181,fresh spinach,113.4
3182,feta cheese,85.0
3183,cooked quinoa,370.0
3184,frozen chopped spinach,283.0
3185,salt,0.75
3186,orzo pasta,227.0
3187,fresh baby spinach,120.0
3188,sun dried tomatoes,54.0
3189,cottage cheese,225.0
3190,portobello mushrooms,484.0
3191,marinara sauce,128.0
3192,petite diced tomatoes,794.0
3193,frozen cheese tortellini,539.0
3194,pepper jack cheese,113.4
3195,frozen chopped spinach,227.0
3196,canned white beans,425.0
3197,fresh cilantro,4.0
3198,whole milk,183.0
3199,bacon,170.0
3200,split peas,454.0
