rowid,query,grams
2351,kalamata olives,50.0
2352,dry thyme,1.0
2353,bacon,113.4
2354,medium cheddar,226.8
2355,pasta,226.8
2356,black pepper,0.3
2357,chicken breasts,453.6
2358,extra virgin olive oil,27.0
2359,dried oregano,1.0
2360,crushed red pepper,0.5
2361,artichoke hearts,340.0
2362,long grain white rice,185.0
2363,chicken broth,354.0
2364,feta cheese crumbles,28.4
2365,parsley,8.0
2366,vegetable broth,1105.0
2367,fettuccine,453.6
2368,vidalia onion,115.0
2369,roasted red peppers,340.0
2370,cream cheese,113.4
2371,long grain white rice,92.5
2372,frozen vegetables,150.0
2373,soy sauce,10.0
2374,toasted sesame oil,2.3
2375,sriracha,15.0
2376,orange,180.0
2377,white sugar,18.75
2378,butter,28.4
2379,all-purpose flour,46.8
2380,flour,240.0
2381,white sugar,200.0
2382,fresh cranberries,150.0
2383,butter,29.8
2384,pork chops,907.2
2385,molasses,85.0
2386,orange juice concentrate,60.0
2387,apples,364.0
2388,sweet Italian sausage,226.8
2389,chicken legs,454.0
2390,butter,14.2
2391,lemon pepper seasoning,4.5
2392,fresh corn,1200.0
2393,Montreal steak seasoning,4.5
2394,eggplant,453.6
2395,zucchini,226.8
2396,yellow squash,226.8
2397,Roma tomatoes,180.0
2398,black pepper,0.3
2399,parsley,4.0
2400,rice vinegar,30.0
