rowid,query,grams
301,brown sugar,27.6
302,cornstarch,8.0
303,boneless skinless chicken thighs,567.0
304,green onions,45.0
305,breadcrumbs,60.0
306,smoked paprika,1.15
307,cayenne pepper,0.9
308,black pepper,0.5
309,cooking oil,20.4
310,plain yogurt,61.3
311,hot sauce,5.7
312,boneless skinless chicken breast,302.0
313,cabbage slaw mix,255.0
314,mayonnaise,27.6
315,plain whole milk yogurt,81.7
316,honey,10.5
317,Dijon mustard,5.0
318,apple cider vinegar,5.0
319,hamburger buns,120.0
320,natural peanut butter,24.0
321,brown sugar,6.9
322,garlic cloves,2.0
323,fresh ginger,1.0
324,lime,15.0
325,soy sauce,5.4
326,vegetable oil,27.2
327,salt,0.4
328,fresh cilantro,10.0
329,peanuts,36.5
330,crushed red pepper,0.2
331,balsamic vinegar,64.0
332,soy sauce,24.3
333,dried thyme,0.25
334,boneless skinless chicken thighs,567.0
335,balsamic vinegar,64.0
336,soy sauce,16.2
337,black pepper,0.5
338,boneless skinless chicken thighs,680.0
339,whole milk mozzarella,113.0
340,Roma tomatoes,200.0
341,fresh parsley,15.0
342,boneless skinless chicken thighs,453.0
343,fresh parsley,5.0
344,mushrooms,454.0
345,balsamic vinegar,48.0
346,russet potatoes,907.0
347,chopped kale,170.0
348,salt,4.5
349,sour cream,115.0
350,milk,122.0
