rowid,query,grams
1251,shredded coconut,5.0
1252,banana,29.5
1253,unsweetened cocoa powder,2.5
1254,vanilla extract,0.6
1255,granola,30.0
1256,cucumber,52.0
1257,imitation crab,85.0
1258,everything bagel seasoning,0.85
1259,sriracha,1.25
1260,sliced almonds,46.0
1261,lemon,1.0
1262,dried cranberries,60.0
1263,orange,131.0
1264,all-purpose flour,156.0
1265,powdered sugar,90.0
1266,water,296.0
1267,cornmeal,20.0
1268,whole milk,366.0
1269,ground nutmeg,0.3
1270,frozen chopped spinach,340.0
1271,feta cheese,56.7
1272,frozen chopped spinach,340.0
1273,grated Parmesan,33.0
1274,salt,0.75
1275,lime,30.0
1276,water,59.0
1277,cream cheese,113.0
1278,diced green chiles,113.0
1279,hot sauce,1.25
1280,salt,0.75
1281,corn tortillas,450.0
1282,cooking oil,41.0
1283,dried sage,0.5
1284,frozen peas and carrots,227.0
1285,heavy cream,80.0
1286,shredded cheddar,113.0
1287,boneless skinless chicken breast,340.0
1288,chili powder,1.8
1289,fresh spinach,60.0
1290,flour tortillas,224.0
1291,chili powder,5.0
1292,cayenne pepper,0.2
1293,boneless skinless chicken breast,340.0
1294,fire roasted diced tomatoes,425.0
1295,cream cheese,113.0
1296,pasta,227.0
1297,carrots,227.0
1298,celery,200.0
1299,chicken breast,454.0
1300,black pepper,0.3
