rowid,query,grams
1551,shredded cheese,113.0
1552,black beans,510.0
1553,chipotle peppers in adobo sauce,22.0
1554,sweet onion,115.0
1555,chicken broth,480.0
1556,corn tortillas,360.0
1557,cheese,113.0
1558,active dry yeast,3.0
1559,sugar,12.5
1560,water,118.0
1561,all-purpose flour,375.0
1562,cornmeal,40.0
1563,distilled white vinegar,30.0
1564,salt,0.75
1565,black pepper,0.1
1566,cilantro,5.0
1567,tomatoes,246.0
1568,yellow onion,110.0
1569,avocados,400.0
1570,salt,2.25
1571,long grain rice,185.0
1572,salted butter,71.0
1573,yellow onion,115.0
1574,fresh spinach,226.0
1575,Everything Bagel seasoning,5.0
1576,fresh parsley,15.0
1577,fresh cilantro,15.0
1578,flour,62.5
1579,neutral cooking oil,54.0
1580,tahini,80.0
1581,garlic cloves,6.0
1582,flat leaf parsley,60.0
1583,chickpeas,400.0
1584,bulgur,85.0
1585,tomatoes,340.0
1586,Roma tomatoes,794.0
1587,poblano pepper,118.0
1588,jalapeño pepper,14.0
1589,garlic cloves,18.0
1590,whole wheat flour,90.0
1591,lard,71.0
1592,water,177.0
1593,baking powder,7.0
1594,vegetable oil,9.0
1595,French loaf,400.0
1596,shredded mozzarella,113.0
1597,toppings,0.0
1598,pasta,340.0
1599,grape tomatoes,680.0
1600,whole milk ricotta,124.0
