rowid,query,grams
2901,BBQ sauce,51.0
2902,chicken sausage,340.2
2903,broccoli,608.0
2904,sweet potato,226.796
2905,sweet potatoes,680.388
2906,chicken breasts,603.277
2907,cranberry sauce,138.5
2908,chicken breast,680.388
2909,kalamata olives,45.0
2910,red potatoes,680.4
2911,kielbasa,340.2
2912,frozen green beans,340.2
2913,steak seasoning,3.5
2914,baby potatoes,453.592
2915,salt,1.0
2916,pesto,64.0
2917,fresh mozzarella,113.4
2918,spring mix,113.398
2919,caesar dressing,60.5
2920,all-purpose flour,500.0
2921,instant yeast,6.2
2922,olive oil,13.5
2923,olive oil,40.5
2924,pizza sauce,396.9
2925,parmesan cheese,50.0
2926,pepperoni slices,85.05
2927,pickled jalapenos,50.0
2928,onion,285.0
2929,pineapple chunks,567.0
2930,chicken breasts,566.99
2931,rice vinegar,78.21
2932,cornstarch,12.0
2933,beef shoulder roast,1360.776
2934,chili powder,16.0
2935,cumin,6.0
2936,garlic cloves,15.0
2937,shrimp,226.796
2938,fettuccine,226.796
2939,parmesan cheese,75.0
2940,black pepper,0.5
2941,pineapple chunks,567.0
2942,unsweetened coconut shreds,21.25
2943,cooking oil,40.5
2944,shrimp,226.796
2945,jasmine rice,632.0
2946,fresh cilantro,10.0
2947,red bell pepper,119.0
2948,dried basil,0.175
2949,dried oregano,0.0625
2950,jasmine rice,185.0
