rowid,query,grams
1001,avocado,200.0
1002,Mexican crema,30.0
1003,Corn bread mix,482.0
1004,chili powder,24.0
1005,shredded cheddar,113.0
1006,canned beans,1275.0
1007,chili powder,8.0
1008,water,237.0
1009,yellow cornmeal,138.0
1010,sugar,50.0
1011,baking powder,16.0
1012,kale,200.0
1013,firm tofu,397.0
1014,chili garlic sauce,30.0
1015,brown rice,780.0
1016,cantaloupe,550.0
1017,lime,15.0
1018,pork loin,907.0
1019,chili powder,8.0
1020,lime,50.0
1021,vegetable oil,56.0
1022,minced garlic,4.5
1023,peeled shrimp,454.0
1024,chili powder,2.6
1025,cooking oil,18.0
1026,honey,7.0
1027,garlic cloves,9.0
1028,lime,100.0
1029,canned black beans,850.0
1030,crushed pineapple,567.0
1031,fresh cilantro,15.0
1032,long grain white rice,370.0
1033,potatoes,1361.0
1034,black pepper,0.5
1035,salt,1.5
1036,Italian parsley,60.0
1037,cilantro,30.0
1038,boneless skinless chicken breast,397.0
1039,button mushrooms,227.0
1040,extra virgin olive oil,54.0
1041,red pepper flakes,0.5
1042,fresh parsley,30.0
1043,fresh cilantro,30.0
1044,boneless skinless chicken breast,340.0
1045,Roma tomatoes,200.0
1046,long grain white rice,185.0
1047,water,355.5
1048,fresh parsley,30.0
1049,fresh cilantro,15.0
1050,olive oil,54.0
