rowid,query,grams
2651,cooked rice,948.0
2652,pumpkin puree,61.0
2653,pumpkin pie spice,1.3
2654,cooking oil,73.0
2655,sugar,150.0
2656,old-fashioned rolled oats,27.0
2657,pumpkin puree,61.0
2658,garlic cloves,3.0
2659,cooked rice,395.0
2660,baby greens,113.0
2661,beets,302.0
2662,zucchini,454.0
2663,carrots,340.0
2664,red cabbage,907.0
2665,green onion,25.0
2666,pepitas,62.0
2667,canned chickpeas,850.0
2668,tomato sauce,567.0
2669,flour tortilla,49.0
2670,frozen broccoli florets,78.0
2671,shredded mozzarella,57.0
2672,crumbled feta,14.0
2673,broccoli,454.0
2674,olive oil,27.0
2675,salt,1.0
2676,canned black eyed peas,1275.0
2677,five spice blend,3.0
2678,cooked chicken,140.0
2679,wide rice noodles,227.0
2680,hoisin sauce,36.0
2681,canned kidney beans,1275.0
2682,dried oregano,0.25
2683,cooked black beans,344.0
2684,curly leaf parsley,60.0
2685,all-purpose flour,281.0
2686,instant yeast,7.0
2687,ground ginger,2.0
2688,water,355.0
2689,ranch seasoning,8.0
2690,chicken drumsticks,907.0
2691,ranch seasoning,3.5
2692,broccoli florets,454.0
2693,garlic herb seasoning,6.0
2694,buttermilk powder,24.0
2695,all-purpose flour,281.0
2696,heavy cream,473.0
2697,butter,28.0
2698,chicken wings,680.0
2699,salt,1.0
2700,raspberry jam,160.0
