rowid,query,grams
901,water,44.37
902,panko breadcrumbs,30.0
903,black pepper,0.525
904,heavy cream,476.0
905,Italian shredded cheese blend,226.0
906,rotini pasta,226.8
907,frozen broccoli florets,283.5
908,salted butter,56.8
909,ground chicken,453.6
910,rubbed sage,1.4
911,carrots,183.0
912,celery,120.0
913,chicken broth,360.0
914,salted butter,42.6
915,buttermilk,122.5
916,granulated sugar,2.1
917,frozen broccoli florets,226.8
918,boneless skinless chicken thighs,302.4
919,salt,0.5
920,olive oil,27.0
921,grated Parmesan,5.0
922,Panko breadcrumbs,15.0
923,Romaine lettuce,94.0
924,grated Parmesan,50.0
925,Caesar dressing,80.0
926,large flour tortillas,200.0
927,split chicken breasts,1134.0
928,chicken broth,1440.0
929,frozen peas,72.0
930,fresh parsley,15.0
931,yellow onion,110.0
932,chicken breast,453.6
933,enchilada sauce,252.0
934,pasta,340.2
935,shredded monterrey jack,113.0
936,green onions,37.5
937,fresh ginger,20.0
938,vegetable oil,13.6
939,boneless skinless chicken breast,453.6
940,coconut milk,414.0
941,natural peanut butter,128.0
942,sriracha sauce,2.5
943,lime,67.0
944,fresh cilantro,15.0
945,lacinato kale,160.0
946,rotisserie chicken,280.0
947,Caesar dressing,60.0
948,large tortillas,200.0
949,hoisin sauce,68.0
950,rice vinegar,14.9
