rowid,query,grams
2301,canola oil,7.0
2302,unsalted peanuts,73.0
2303,cooked rice,632.0
2304,eggs,300.0
2305,Nashville Hot Seasoning,18.0
2306,salt & vinegar potato chips,6.0
2307,green onion,3.0
2308,cayenne pepper,10.6
2309,dark brown sugar,0.5
2310,smoked paprika,1.15
2311,onion powder,0.6
2312,sweet potato,180.0
2313,apples,364.0
2314,fresh strawberries,227.0
2315,graham crackers,28.0
2316,sweetened condensed milk,396.0
2317,mint extract,6.3
2318,chocolate syrup,68.0
2319,all-purpose flour,250.0
2320,instant yeast,0.4
2321,all-purpose flour,281.25
2322,instant yeast,7.0
2323,bananas,236.0
2324,unsweetened apple sauce,244.0
2325,old fashioned rolled oats,486.0
2326,unsweetened shredded coconut,85.0
2327,banana chips,72.0
2328,chia seeds,40.0
2329,unsweetened applesauce,325.0
2330,blueberries,148.0
2331,almond extract,2.1
2332,chicken breasts,567.0
2333,tomato sauce,425.0
2334,plain yogurt,123.0
2335,jasmine rice,277.5
2336,water,533.25
2337,dry pinto beans,454.0
2338,jalapeno,14.0
2339,chili powder,4.0
2340,black pepper,1.5
2341,salt,18.0
2342,dried rosemary,0.3
2343,crushed red pepper,0.1
2344,baking soda,2.3
2345,butter,28.4
2346,pumpkin puree,122.0
2347,white sugar,67.0
2348,rolled oats,121.5
2349,salt,8.0
2350,active dry yeast,6.75
