rowid,query,grams
1101,boneless skinless chicken thighs,567.0
1102,frozen onion bell pepper celery mix,340.0
1103,tomato paste,32.0
1104,long grain white rice,462.5
1105,chicken broth,960.0
1106,green onions,100.0
1107,Mexican chorizo,340.0
1108,chili powder,8.0
1109,olive oil,40.5
1110,pork chops bone-in,907.0
1111,adobo seasoning,4.0
1112,sofrito,90.0
1113,tomato sauce,227.0
1114,white distilled vinegar,14.0
1115,sazon seasoning,1.5
1116,chicken broth,480.0
1117,pimento stuffed green olives,35.0
1118,dried oregano,2.0
1119,bay leaf,0.6
1120,onion,110.0
1121,bell pepper,120.0
1122,cooked ham,454.0
1123,cannellini beans,1275.0
1124,chicken broth,480.0
1125,carrots,227.0
1126,brown lentils,192.0
1127,black pepper,1.0
1128,petite diced tomatoes,425.0
1129,vegetable broth,960.0
1130,split turkey breast bone-in skin on,1134.0
1131,apple cider,120.0
1132,chicken drumsticks,794.0
1133,baking powder,1.0
1134,chopped pecans,7.0
1135,butter,7.0
1136,milk,30.0
1137,powdered sugar,8.0
1138,milk,2.5
1139,rolled oats,40.0
1140,riced cauliflower,50.0
1141,milk,120.0
1142,chopped pecans,7.0
1143,all purpose flour,500.0
1144,salt,9.0
1145,honey,21.0
1146,active dry yeast,4.5
1147,ground cinnamon,5.0
1148,raisins,75.0
1149,whole wheat flour,120.0
1150,bread flour,285.75
