rowid,query,grams
2551,sofrito,128.5
2552,pimento-stuffed green olives,71.0
2553,white vinegar,7.45
2554,tomato sauce,425.25
2555,boneless skinless chicken thighs,1360.78
2556,sazon,7.5
2557,cooking oil,27.2
2558,BBQ Sauce,261.0
2559,pineapple chunks in juice,123.0
2560,ice,150.0
2561,pineapple slices in juice,567.0
2562,shredded Monterey jack cheese,56.7
2563,teriyaki sauce,108.0
2564,cooking oil,13.6
2565,onion rolls,340.0
2566,boneless pork chops,566.99
2567,Vidalia onion,150.0
2568,pineapple chunks in juice,567.0
2569,Sriracha,18.0
2570,frozen banana,59.0
2571,frozen pineapple chunks,82.5
2572,brown sugar,2.1
2573,ground flaxseed,7.0
2574,unsweetened almond milk,240.0
2575,cooked jasmine rice,158.0
2576,soy sauce,5.4
2577,sriracha,6.0
2578,sesame oil,4.5
2579,pineapple chunks,55.0
2580,pineapple jam,510.3
2581,cornstarch,4.0
2582,bone-in chicken thighs,1814.37
2583,water,266.63
2584,sugar,6.3
2585,whole wheat flour,60.0
2586,all-purpose flour,312.5
2587,water,177.75
2588,yeast,3.1
2589,butter,14.2
2590,shredded mozzarella,37.33
2591,pizza sauce,15.0
2592,pepperoni,12.0
2593,rotini pasta,453.592
2594,sliced black olives,56.7
2595,flour tortillas,360.0
2596,shredded mozzarella,224.0
2597,pepperoni,60.0
2598,sliced black olives,63.79
2599,canned mushrooms,400.0
2600,pizza sauce,250.0
