rowid,query,grams
3001,cooked rice,1580.0
3002,fresh cilantro,30.0
3003,boneless skinless chicken,680.4
3004,marinara sauce,680.4
3005,chicken pieces,2268.0
3006,fresh ginger,30.0
3007,orange,131.0
3008,jalapeno pepper,14.0
3009,pineapple chunks in juice,567.0
3010,chicken thighs,625.0
3011,cooked rice,790.0
3012,chicken pieces,907.2
3013,salsa verde,453.6
3014,jalapeno,14.0
3015,queso fresco,56.7
3016,beef roast,907.2
3017,green onions,90.0
3018,apple juice,1892.0
3019,cranberry juice,946.0
3020,fresh ginger,22.5
3021,cloves,5.4
3022,cinnamon sticks,35.4
3023,fresh cranberries,100.0
3024,petite diced tomatoes,425.2
3025,kidney beans,425.2
3026,brown lentils,192.0
3027,coconut oil,27.0
3028,black eyed peas,453.6
3029,celery,225.0
3030,fresh greens,340.2
3031,Dijon mustard,1.25
3032,seasoning salt,0.3
3033,salted butter,56.8
3034,burger seasoning,6.0
3035,burger buns,240.0
3036,iceberg lettuce,60.0
3037,tomato,123.0
3038,red onion,25.0
3039,smoked sausage,226.8
3040,diced tomatoes,425.2
3041,black pepper,1.5
3042,cooked farro,360.0
3043,fresh parsley,15.0
3044,sweet potatoes,680.4
3045,cayenne pepper,0.4
3046,ground pepper,1.0
3047,russet potatoes,1020.6
3048,garlic powder,3.1
3049,smoked paprika,2.3
3050,salt,5.0
