rowid,query,grams
2101,celery stalk,40.0
2102,chopped walnuts,58.0
2103,red lentils,192.0
2104,crushed tomatoes,425.0
2105,tomato paste,48.0
2106,dried basil,0.7
2107,garlic powder,3.1
2108,coconut milk,120.0
2109,Italian sausage,227.0
2110,celery,160.0
2111,brown lentils,384.0
2112,chicken broth,1422.0
2113,frozen spinach,283.0
2114,brown lentils,384.0
2115,taco seasoning,35.0
2116,corn tortillas,320.0
2117,pico de gallo,452.0
2118,avocados,300.0
2119,dried sage,1.5
2120,salt,3.0
2121,cream cheese,170.0
2122,baby spinach,120.0
2123,champagne mangoes,800.0
2124,lime,30.0
2125,powdered ginger,0.25
2126,frozen shrimp,227.0
2127,ramen noodles,170.0
2128,sriracha,30.0
2129,cucumber,150.0
2130,kalamata olives,32.0
2131,chopped parsley,3.8
2132,pitas,240.0
2133,hummus,246.0
2134,olive oil,9.0
2135,jerk seasoning,4.6
2136,black beans,255.0
2137,jalapeño,14.0
2138,cream cheese,227.0
2139,imitation lobster,227.0
2140,green onions,30.0
2141,wonton wrappers,336.0
2142,sriracha,2.5
2143,non-stick spray,5.0
2144,hard-boiled eggs,100.0
2145,red bell pepper,60.0
2146,celery,80.0
2147,sweet pickle relish,15.0
2148,whole milk,976.0
2149,cinnamon,1.3
2150,kale,180.0
