rowid,query,grams
1051,dried oregano,0.5
1052,canned chickpeas,850.0
1053,fresh cilantro,8.0
1054,dried oregano,1.0
1055,water,237.0
1056,quinoa,170.0
1057,fresh parsley,60.0
1058,fresh cilantro,8.0
1059,chipotle powder,2.0
1060,chicken breast,340.0
1061,V8 juice,946.0
1062,canned diced tomatoes,425.0
1063,chipotle peppers in adobo sauce,56.5
1064,sweet potatoes,907.0
1065,milk,30.0
1066,chipotle peppers in adobo sauce,20.0
1067,salt,1.0
1068,fresh peaches,907.0
1069,chipotle peppers in adobo sauce,20.0
1070,salt,3.0
1071,chipotle powder,1.0
1072,canned pumpkin puree,425.0
1073,heavy cream,60.0
1074,sweet potato,454.0
1075,chipotle peppers in adobo sauce,10.0
1076,cornmeal,75.0
1077,vegetable oil,14.0
1078,wheat rolls,200.0
1079,mayonnaise,58.0
1080,old-fashioned rolled oats,160.0
1081,shredded coconut,27.0
1082,unsweetened cocoa powder,15.0
1083,water,30.0
1084,whole wheat flour,180.0
1085,all-purpose flour,219.0
1086,salt,7.5
1087,instant yeast,7.0
1088,ground cinnamon,8.0
1089,water,296.0
1090,chocolate chips,85.0
1091,large eggs,100.0
1092,white sugar,25.0
1093,butter,61.0
1094,semi-sweet chocolate,57.0
1095,all-purpose flour,16.0
1096,semi-sweet chocolate,227.0
1097,heavy whipping cream,473.0
1098,egg whites,90.0
1099,powdered sugar,60.0
1100,Mexican Chorizo,227.0
