rowid,query,grams
1951,frozen chopped spinach,226.8
1952,yellow onion,110.0
1953,garlic cloves,12.0
1954,dried basil,2.7
1955,shaved Parmesan,56.7
1956,fresh cranberries,340.2
1957,frozen raspberries,340.2
1958,lemon juice,30.0
1959,pineapple tidbits,330.0
1960,canned black beans,425.0
1961,red onion,53.0
1962,fresh cilantro,8.0
1963,boneless skinless chicken breasts,605.0
1964,jerk seasoning,6.0
1965,jerk seasoning,4.0
1966,orange juice,120.0
1967,chopped collard greens,453.592
1968,bone-in skin-on chicken thighs,907.184
1969,soy sauce,85.0
1970,hot water,30.0
1971,minced ginger,2.0
1972,sesame seeds,9.0
1973,fresh cilantro,4.0
1974,ground beef 90/10,453.592
1975,dried oregano,1.5
1976,worcestershire sauce,17.0
1977,frozen chopped spinach,226.796
1978,feta cheese,56.7
1979,grated parmesan,10.0
1980,long grain brown rice,190.0
1981,Italian seasoning,3.0
1982,chopped fresh kale,226.796
1983,rotisserie chicken breast,195.0
1984,half and half,120.0
1985,pasta,453.592
1986,chopped kale,67.0
1987,olive oil,68.0
1988,lemon,150.0
1989,grated Parmesan,33.0
1990,salt,3.0
1991,mozzarella,113.4
1992,shredded kale,134.0
1993,whole wheat pita,60.0
1994,golden raisins,53.0
1995,shredded Parmesan,33.0
1996,champagne vinaigrette,85.0
1997,bowtie pasta,226.8
1998,chopped kale,170.1
1999,canned wild caught salmon,397.0
2000,large eggs,100.0
