rowid,query,grams
2251,brown sugar,165.0
2252,melted butter,14.2
2253,pecan pieces,66.0
2254,carrots,122.0
2255,plain breadcrumbs,81.0
2256,ground turkey,538.6
2257,frozen peas,454.0
2258,shallot,20.0
2259,fresh mint,5.0
2260,milk,549.0
2261,dry macaroni,227.0
2262,Dijon mustard,5.0
2263,smoked paprika,0.6
2264,black pepper,0.6
2265,unsweetened apple sauce,366.0
2266,carrots,150.0
2267,crushed pineapple,425.0
2268,shredded coconut,27.0
2269,chopped walnuts,38.0
2270,milk,244.0
2271,old-fashioned rolled oats,202.5
2272,frozen cauliflower florets,227.0
2273,brown lentils,192.0
2274,ground turmeric,3.0
2275,paprika,2.3
2276,old-fashioned oats,243.0
2277,chopped walnuts,58.0
2278,dried cranberries,60.0
2279,sunflower seeds,34.0
2280,brown sugar,25.0
2281,yellow onions,440.0
2282,allspice,2.0
2283,vegetable broth,600.0
2284,long grain white rice,185.0
2285,boneless beef rump roast,1814.0
2286,bowtie pasta,227.0
2287,baby bella mushrooms,454.0
2288,butter,42.6
2289,long-grain white rice,185.0
2290,frozen spinach,227.0
2291,butter,28.4
2292,russet potatoes,1814.0
2293,cooking oil,9.3
2294,red enchilada sauce,240.0
2295,cheddar cheese,113.0
2296,jalapeños,45.0
2297,fresh lime juice,60.0
2298,grated fresh ginger,9.0
2299,chili garlic sauce,7.5
2300,ground pork,454.0
