rowid,query,grams
1401,tomato sauce,425.25
1402,fresh cilantro,30.0
1403,plain Greek yogurt,61.25
1404,curry powder,3.15
1405,fresh cilantro,4.0
1406,extra firm tofu,396.9
1407,turmeric,2.8
1408,crushed red pepper,0.5
1409,ground beef 15% fat,453.6
1410,russet potato,340.2
1411,green onions,30.0
1412,honey,3.5
1413,curry powder,2.1
1414,cooked chicken,375.0
1415,salt,0.4
1416,plain yogurt,81.67
1417,Dijon mustard,2.5
1418,curry powder,3.15
1419,red onion,40.0
1420,red onion,100.0
1421,long grain brown rice,190.0
1422,curry powder,12.6
1423,tahini,80.0
1424,water,78.86
1425,lemon juice,60.5
1426,dry brown lentils,192.0
1427,crushed tomatoes,425.25
1428,cayenne pepper,0.9
1429,evaporated milk,123.0
1430,sweet potatoes,600.0
1431,medjool dates,120.0
1432,chopped walnuts,38.0
1433,gorgonzola cheese,34.0
1434,fresh parsley,10.0
1435,all-purpose flour,23.7
1436,cooking oil,56.0
1437,turnip,200.0
1438,carrots,200.0
1439,onion,110.0
1440,black pepper,1.0
1441,lemon pepper,0.6
1442,fresh dill,1.0
1443,luncheon meat,198.45
1444,frozen stir fry vegetables,340.2
1445,instant ramen,85.05
1446,grape leaves,200.0
1447,long grain rice,285.0
1448,lemon juice,91.5
1449,fresh mint,5.0
1450,old-fashioned rolled oats,106.67
