rowid,query,grams
1301,salt,9.0
1302,wild rice mix,190.0
1303,water,1422.0
1304,whole milk,488.0
1305,curry powder,6.3
1306,brown lentils,192.0
1307,vegetable broth,442.0
1308,coconut milk,396.5
1309,fresh baby spinach,90.0
1310,fresh cilantro,4.0
1311,dried dill,0.5
1312,cucumber,300.0
1313,mushrooms,226.8
1314,boneless skinless chicken thighs,440.0
1315,half and half,242.0
1316,fresh parsley,3.8
1317,plain Greek yogurt,141.75
1318,dried dill,0.25
1319,penne,454.0
1320,cucumber,200.0
1321,mushrooms,453.6
1322,rubbed sage,0.5
1323,dried rosemary,0.5
1324,vegetable broth,663.0
1325,full-fat coconut milk,411.75
1326,baby bella mushrooms,226.8
1327,boneless skinless chicken breast,590.0
1328,butter,28.4
1329,heavy cream,119.0
1330,crispy fried onions,30.0
1331,fresh parsley,3.8
1332,fettuccine,340.2
1333,vegetable broth,331.5
1334,fresh thyme,3.0
1335,half and half,121.0
1336,yellow onion,110.0
1337,white wine,118.0
1338,half and half,121.0
1339,Parmesan,56.7
1340,uncooked macaroni,226.0
1341,basil pesto,64.0
1342,frozen spinach,227.0
1343,bow tie pasta,226.8
1344,frozen broccoli florets,226.8
1345,basil pesto,85.0
1346,roasted red peppers,453.6
1347,sour cream,80.0
1348,queso fresco,56.7
1349,fresh cilantro,10.0
1350,rice,632.0
