rowid,query,grams
1801,brown sugar,52.5
1802,boneless skinless chicken thighs,755.0
1803,Italian seasoning,2.7
1804,fresh parsley,15.0
1805,baby potatoes,680.0
1806,salt,6.0
1807,fresh basil,10.0
1808,green onion,15.0
1809,natural peanut butter,64.0
1810,cooking oil,7.0
1811,ground pork,227.0
1812,carrot,80.0
1813,hoisin sauce,85.0
1814,rice,744.0
1815,peanuts,37.0
1816,hoisin sauce,128.0
1817,rice,186.0
1818,dried sage,1.0
1819,frozen seasoning mix,340.0
1820,wild rice mix,270.0
1821,water,1183.0
1822,chicken bouillon,14.0
1823,fresh thyme,3.0
1824,Greek yogurt,85.0
1825,anchovy fillets,12.0
1826,Dijon mustard,30.0
1827,active dry yeast,6.0
1828,all-purpose flour,240.0
1829,shredded cheese,113.0
1830,salted butter,113.0
1831,dried parsley,1.5
1832,French bread,400.0
1833,garlic powder,0.8
1834,grated Parmesan,14.0
1835,plain yogurt,61.0
1836,garlic powder,0.6
1837,fresh parsley,3.8
1838,green onion,15.0
1839,sugar,0.5
1840,milk,15.0
1841,chicken breasts,680.0
1842,honey,63.0
1843,chipotle peppers in adobo,45.0
1844,lime juice,30.0
1845,green onions,30.0
1846,yellow mustard,15.0
1847,paprika,0.3
1848,broccoli,550.0
1849,red onion,55.0
1850,slivered almonds,30.0
