rowid,query,grams
3351,enchilada sauce,240.0
3352,shredded cheese,226.0
3353,green onions,52.5
3354,feta cheese,85.05
3355,chili powder,5.2
3356,salsa,120.0
3357,red pepper flakes,0.3
3358,buckwheat soba noodles,226.8
3359,pork butt roast,1360.78
3360,sweet onion,150.0
3361,teriyaki sauce,255.0
3362,canned pineapple slices,425.0
3363,fresh ginger,10.0
3364,hamburger buns,400.0
3365,salmon filet,453.592
3366,water,29.58
3367,toasted sesame oil,6.8
3368,minced garlic,1.4
3369,brown sugar,25.0
3370,rice wine,30.0
3371,sriracha hot sauce,36.0
3372,naan bread,640.0
3373,peanut butter,129.0
3374,sriracha hot sauce,36.0
3375,chicken breasts,340.0
3376,boneless skinless chicken thighs,550.0
3377,red Thai curry paste,32.0
3378,fish sauce,1.25
3379,jasmine rice,790.0
3380,green onions,37.5
3381,butter,28.4
3382,red Thai curry paste,64.0
3383,coconut milk,403.0
3384,cilantro,20.0
3385,sriracha,36.0
3386,cooking oil,27.0
3387,Thai red curry paste,32.0
3388,sweet potato,453.592
3389,baby bok choy,200.0
3390,vegetable broth,960.0
3391,fish sauce,7.5
3392,rice vermicelli noodles,99.225
3393,lime,15.0
3394,chili garlic sauce,7.5
3395,honey,21.0
3396,chicken pieces,1360.78
3397,peanut butter,193.5
3398,coconut milk,60.0
3399,lime,15.0
3400,fresh ginger,10.0
