rowid,query,grams
1901,frozen cut green beans,340.2
1902,vegetable broth,221.0
1903,fried onions,30.0
1904,all-purpose flour,11.7
1905,rubbed sage,0.5
1906,dried thyme,0.2
1907,frozen broccoli florets,100.0
1908,large eggs,50.0
1909,hummus,30.0
1910,sesame seeds,1.0
1911,sriracha sauce,5.0
1912,pizza dough,450.0
1913,hummus,150.0
1914,summer squash,200.0
1915,portabello mushroom,100.0
1916,red onion,50.0
1917,roasted red peppers,113.0
1918,crushed red pepper,1.0
1919,cornmeal,8.0
1920,fresh spinach,226.8
1921,ground cumin,4.2
1922,garam masala,2.0
1923,cayenne pepper,0.5
1924,salt,4.5
1925,beef stew meat,453.6
1926,salt,2.0
1927,beef broth,488.0
1928,frozen pearl onions,396.9
1929,potatoes,340.2
1930,jasmine rice,185.0
1931,fresh ginger,25.0
1932,shittake mushrooms,45.0
1933,bone-in chicken pieces,907.2
1934,water,1659.0
1935,peanuts,50.0
1936,Spanish chorizo,113.4
1937,dry pinto beans,400.0
1938,bay leaves,0.4
1939,reduced sodium chicken broth,732.0
1940,canned diced tomatoes,425.2
1941,lemon juice,15.0
1942,Italian seasoning blend,1.0
1943,orzo pasta,200.0
1944,roasted red peppers,170.0
1945,kalamata olives,50.0
1946,artichoke hearts,170.0
1947,Italian sausage,453.6
1948,canned cannellini beans,850.4
1949,spinach,226.8
1950,fettuccine,340.2
