rowid,query,grams
251,dried thyme,0.5
252,black pepper,0.3
253,fresh parsley,3.8
254,diced tomatoes,425.0
255,garlic,9.0
256,dried oregano,0.75
257,lemon juice,7.5
258,chicken breast,454.0
259,salt,0.4
260,artichoke hearts,397.0
261,shredded mozzarella,112.0
262,red cabbage,450.0
263,carrot,61.0
264,fresh cilantro,10.0
265,lemon juice,30.0
266,canola oil,14.0
267,red wine vinegar,60.0
268,Italian parsley,60.0
269,cilantro,30.0
270,dried oregano,1.0
271,cumin,1.0
272,red pepper flakes,0.5
273,cod steaks,567.0
274,rice,744.0
275,fresh spinach,60.0
276,eggs,200.0
277,crushed red pepper,0.25
278,heavy cream,30.0
279,feta cheese,28.0
280,heavy cream,238.0
281,Italian seasoning,0.25
282,shredded cheddar cheese,113.0
283,shredded Italian cheese blend,112.0
284,macaroni,227.0
285,Panko breadcrumbs,30.0
286,shredded cheddar,28.0
287,peaches,300.0
288,blueberries,74.0
289,milk,366.0
290,plain yogurt,245.0
291,brown sugar,55.0
292,old-fashioned oats,160.0
293,baking powder,2.3
294,baking soda,1.2
295,ground ginger,1.8
296,pineapple chunks in juice,425.0
297,fresh ginger,10.0
298,garlic,6.0
299,soy sauce,60.0
300,rice vinegar,22.5
