rowid,query,grams
1201,salt,3.0
1202,red lentils,454.0
1203,light coconut milk,457.5
1204,water,355.5
1205,jasmine rice,277.5
1206,coconut milk,457.5
1207,frozen peas and carrots,454.0
1208,canned pineapple chunks,425.25
1209,sriracha sauce,17.0
1210,jasmine rice,277.5
1211,curry powder,12.6
1212,carrots,227.0
1213,frozen broccoli and cauliflower,454.0
1214,light coconut milk,427.0
1215,fresh cilantro,4.0
1216,pork shoulder,1589.0
1217,coffee beans,28.35
1218,brown sugar,110.0
1219,cayenne pepper,2.65
1220,salt,9.0
1221,black pepper,0.175
1222,minced garlic,5.6
1223,russet potatoes,1362.0
1224,green onions,68.0
1225,cabbage,450.0
1226,natural peanut butter,48.0
1227,fresh ginger,2.0
1228,lime,67.0
1229,soy sauce,10.0
1230,vegetable oil,54.5
1231,whole wheat spaghetti,226.8
1232,red cabbage,280.0
1233,fresh cilantro,8.0
1234,green onions,50.0
1235,peanuts,73.0
1236,2% cottage cheese,56.5
1237,apple,90.0
1238,chopped walnuts,7.5
1239,maple syrup,20.0
1240,cinnamon,0.4
1241,cottage cheese,113.0
1242,rolled oats,20.25
1243,jam,20.0
1244,hard boiled egg,50.0
1245,grape tomatoes,60.0
1246,cucumber,50.0
1247,black pepper,0.1
1248,vanilla extract,0.525
1249,frozen blueberries,37.5
1250,canned pineapple tidbits,82.5
