rowid,query,grams
1351,boneless skinless chicken breasts,510.3
1352,salt,0.75
1353,artichoke hearts,340.0
1354,Italian sausage,226.8
1355,crushed tomatoes,794.0
1356,Italian seasoning,2.0
1357,pasta,226.8
1358,frozen peas,134.0
1359,half and half,242.0
1360,shredded Parmesan,50.0
1361,canned Albacore tuna,340.0
1362,carrots,226.8
1363,wild rice blend,190.0
1364,coconut milk,368.0
1365,canned green chiles,113.0
1366,canned pinto beans,425.0
1367,wide egg noodles,226.8
1368,shredded pepper jack cheese,56.7
1369,dry navy beans,453.6
1370,celery,200.0
1371,green bell peppers,300.0
1372,chicken thighs,600.0
1373,Creole Seasoning,12.0
1374,smoked paprika,3.0
1375,sriracha,68.0
1376,baby potatoes,680.4
1377,dried parsley,0.5
1378,lemon juice,47.0
1379,coleslaw mix,396.9
1380,ramen noodles,85.0
1381,mango,200.0
1382,rice vinegar,63.0
1383,red pepper flakes,0.2
1384,cucumber,150.0
1385,fresh ginger,5.0
1386,ground coriander,0.5
1387,fresh cilantro,10.0
1388,white bread,336.0
1389,cream cheese,226.8
1390,English cucumber,300.0
1391,canned chickpeas,850.0
1392,carrots,226.8
1393,cabbage,500.0
1394,curry powder,12.0
1395,fresh cilantro,10.0
1396,curry powder,9.0
1397,spinach,226.8
1398,carrots,226.8
1399,brown lentils,192.0
1400,curry powder,12.0
