rowid,query,grams
3101,frozen corn kernels,201.0
3102,shredded cheese,169.5
3103,spaghetti squash,620.0
3104,Monterey jack cheese,113.4
3105,flank steak,453.592
3106,brown rice,277.5
3107,firm tofu,396.9
3108,turmeric,3.0
3109,diced tomatoes with green chiles,283.5
3110,red bell pepper,30.0
3111,diced green chiles,30.0
3112,salsa,32.0
3113,pork tenderloin,603.28
3114,vegetable broth,240.0
3115,light oil,13.6
3116,brown rice,370.0
3117,water,768.95
3118,creamy peanut butter,64.0
3119,oil,4.5
3120,snap peas,226.796
3121,spaghetti,340.2
3122,fresh parsley,10.0
3123,pasta sauce,680.4
3124,vegetable broth,360.0
3125,tostadas,120.0
3126,guacamole,226.8
3127,radishes,21.0
3128,carrots,256.0
3129,allspice,1.0
3130,dried apricots,40.0
3131,pizza dough,450.0
3132,pizza sauce,183.75
3133,shredded monterey jack,169.5
3134,canned pineapple pieces,226.8
3135,sliced ham,85.05
3136,instant yeast,0.75
3137,water,177.45
3138,cornmeal,4.0
3139,salami,24.0
3140,smoked provolone,84.0
3141,crushed red pepper,0.9
3142,orecchiette,226.8
3143,chicken sausage,340.2
3144,black pepper,1.0
3145,carrots,453.592
3146,white vinegar,478.0
3147,cucumber,357.0
3148,frozen pineapple chunks,226.796
3149,gochujang,8.25
3150,frozen cauliflower florets,453.592
