rowid,query,grams
1651,toasted sesame oil,1.25
1652,fresh salmon,453.6
1653,dark molasses,113.0
1654,ground cloves,0.5
1655,old-fashioned oats,200.0
1656,steel-cut oats,168.0
1657,dark molasses,113.0
1658,old-fashioned rolled oats,320.0
1659,oat bran,94.0
1660,sliced almonds,92.0
1661,molasses,85.0
1662,brown sugar,73.0
1663,canola oil,54.0
1664,powdered ginger,4.0
1665,rice vinegar,45.0
1666,cucumber,300.0
1667,gochujang,18.0
1668,brown sugar,20.6
1669,rice vinegar,7.5
1670,portobello mushrooms,200.0
1671,chunk light tuna in water,340.0
1672,cinnamon sticks,12.0
1673,fresh ginger,30.0
1674,ground turmeric,6.8
1675,honey,85.0
1676,milk,976.0
1677,olive oil,13.5
1678,fresh ginger,15.0
1679,ground turmeric,3.4
1680,carrots,200.0
1681,red lentils,192.0
1682,salt,9.0
1683,unsweetened coconut flakes,27.0
1684,jasmine rice,390.0
1685,turmeric,0.5
1686,cloves,0.1
1687,vanilla,0.5
1688,chicken broth,747.0
1689,spinach,453.6
1690,apple cider vinegar,45.0
1691,Romaine lettuce,550.0
1692,red seedless grapes,151.0
1693,feta,56.7
1694,boneless skinless chicken thighs,240.0
1695,pasta,226.8
1696,bell pepper,150.0
1697,grape tomatoes,113.4
1698,cucumber,150.0
1699,parsley,15.0
1700,boneless skinless chicken thighs,816.5
