rowid,query,grams
3401,sriracha sauce,5.0
3402,sesame oil,2.25
3403,water,88.5
3404,flour tortilla,60.0
3405,cranberry sauce,70.0
3406,turkey,35.0
3407,stuffing,30.0
3408,brie cheese,90.0
3409,fresh parsley,3.8
3410,fresh cilantro,3.0
3411,mini bagels,180.0
3412,cucumber,300.0
3413,cheese,226.8
3414,salami,113.4
3415,crackers,60.0
3416,dried apricots,128.0
3417,walnuts,117.0
3418,pita bread,120.0
3419,peanut butter,192.0
3420,mini pretzels,90.0
3421,Medjool dates,176.0
3422,lemon juice,5.0
3423,provolone cheese,224.0
3424,pepperoni,108.0
3425,celery,120.0
3426,mini sweet peppers,180.0
3427,russet potatoes,600.0
3428,active dry yeast,6.3
3429,all-purpose flour,240.0
3430,pepperoni,85.0
3431,banana pepper rings,75.0
3432,thin spaghetti,454.0
3433,unsweetened shredded coconut,20.0
3434,light coconut milk,414.0
3435,dried basil,0.7
3436,black pepper,1.0
3437,tomato paste,85.0
3438,active dry yeast,6.3
3439,all-purpose flour,360.0
3440,tomato paste,85.0
3441,brown sugar,2.5
3442,garlic cloves,6.0
3443,russet potato,454.0
3444,paprika,1.2
3445,salt,18.0
3446,fresh spinach,90.0
3447,mozzarella cheese,226.8
3448,whole wheat flour,30.0
3449,frozen berries,150.0
3450,butter,28.4
