rowid,query,grams
3251,mushrooms sliced,226.8
3252,provolone slices,168.0
3253,pepperoni slices,56.7
3254,grated Parmesan,7.5
3255,long grain rice,185.0
3256,bouillon cubes,8.0
3257,poblano peppers,816.0
3258,cheese,113.4
3259,salsa,193.0
3260,non-stick spray,10.0
3261,frozen lima beans,340.2
3262,frozen sweet corn,340.2
3263,vegetable juice,236.6
3264,sweet onion,160.0
3265,cucumber,240.0
3266,fresh parsley,30.0
3267,lemon juice,9.9
3268,pasta shells,226.8
3269,sweet corn cobs,204.0
3270,zucchini,302.4
3271,red onion,40.0
3272,red wine vinegar,79.0
3273,bowtie pasta,340.2
3274,chopped parsley,30.0
3275,zucchini,196.0
3276,yellow squash,196.0
3277,potato,213.0
3278,tomato,123.0
3279,salt,6.0
3280,shredded Italian blend cheese,112.0
3281,chopped parsley,3.8
3282,eggplant,548.0
3283,water,1183.0
3284,cannellini beans,850.0
3285,sun dried tomatoes in oil,99.0
3286,fresh kale,170.1
3287,crushed tomatoes,1587.6
3288,aquafaba,118.0
3289,rolled oats,160.0
3290,oat bran,29.0
3291,slivered almonds,23.0
3292,cucumbers,602.0
3293,Roma tomatoes,248.0
3294,short grain white rice,370.0
3295,imitation crab,226.8
3296,nori snack,5.0
3297,dried basil,5.3
3298,dried oregano,5.3
3299,tomato sauce,680.4
3300,diced tomatoes,1275.0
