rowid,query,grams
2601,fresh ginger,5.0
2602,lemon juice,30.0
2603,canola oil,40.8
2604,plums,226.8
2605,bulgur,360.0
2606,chicken thighs boneless skinless,680.4
2607,adobo seasoning,4.0
2608,yellow onion,150.0
2609,sazon seasoning,6.0
2610,dried oregano,2.0
2611,manzanilla olives,35.0
2612,potato,300.0
2613,carrots,200.0
2614,chicken stock,720.0
2615,butter,227.0
2616,powdered sugar,120.0
2617,ground cinnamon,5.2
2618,long grain white rice,370.0
2619,water,591.0
2620,salt,1.5
2621,pork sausage,340.2
2622,Italian parsley,30.0
2623,frozen sweet cherries,75.0
2624,red wine,118.0
2625,lemon juice,1.25
2626,ground pork,226.8
2627,green cabbage,500.0
2628,sesame oil,1.15
2629,green onion,10.0
2630,carrot,25.0
2631,wonton wrappers,450.0
2632,bouillon cubes,15.0
2633,non-stick cooking spray,10.0
2634,shredded cabbage,280.0
2635,canola oil,27.2
2636,grated ginger,15.0
2637,ground pork,226.8
2638,gyoza wrappers,430.0
2639,chili garlic sauce,68.0
2640,ground pork,226.8
2641,ramen noodles,170.1
2642,unsalted peanuts,35.0
2643,salt,6.0
2644,everything bagel seasoning,5.0
2645,whole chicken,1587.0
2646,seasoning blend,30.0
2647,long grain white rice,277.5
2648,parsley,10.0
2649,andouille sausage,226.8
2650,dry red beans,453.6
