rowid,query,grams
1,frozen mixed vegetables,680.4
2,vegetable broth,442.0
3,coconut milk,411.75
4,curry powder,6.3
5,ground ginger,0.9
6,salt,0.75
7,butter,28.4
8,garlic cloves,6.0
9,chicken broth,373.5
10,milk,366.0
11,salt,1.5
12,black pepper,0.525
13,linguine,226.8
14,baby spinach,113.398
15,artichoke hearts,425.25
16,grated Parmesan,25.0
17,boneless skinless chicken thighs,680.388
18,smoked paprika,2.3
19,garlic powder,0.7
20,cooking oil,13.6
21,chicken broth,124.5
22,stone ground mustard,31.8
23,honey,42.6
24,butter,14.2
25,yellow onion,110.0
26,cooking oil,27.2
27,flour,15.6
28,chili powder,16.0
29,tomato paste,85.05
30,ground cumin,1.05
31,garlic powder,1.4
32,cayenne pepper,0.45
33,salt,4.5
34,water,473.2
35,chicken broth,747.0
36,chopped green chiles,113.4
37,hominy,425.25
38,shredded pork,169.5
39,fresh lime,67.0
40,fresh cilantro,15.0
41,linguine,226.796
42,mushrooms,113.4
43,grape tomatoes,149.0
44,fresh spinach,113.4
45,butter,14.2
46,nutritional yeast,10.0
47,black pepper,0.525
48,whole milk,244.0
49,shredded cheddar cheese,170.1
50,chili powder,0.7
