rowid,query,grams
2051,strawberries,24.0
2052,cold butter,85.2
2053,blueberries,74.0
2054,milk,61.0
2055,powdered sugar,120.0
2056,green beans,454.0
2057,salt,1.0
2058,all-purpose flour,180.0
2059,butter,113.5
2060,granulated sugar,300.0
2061,lemon juice,122.0
2062,shredded coconut,63.75
2063,water,59.0
2064,chopped kale,170.0
2065,canned salmon,170.0
2066,asparagus,454.0
2067,lemon,116.0
2068,split chicken breasts,907.0
2069,thin spaghetti,227.0
2070,fresh parsley,30.0
2071,lemon pepper seasoning,3.5
2072,poppy seeds,6.0
2073,salted butter,227.0
2074,all-purpose flour,180.0
2075,eggs,200.0
2076,buttermilk,61.0
2077,lemon,174.0
2078,butter,9.4
2079,old fashioned oats,243.0
2080,plain yogurt,367.5
2081,lemon,58.0
2082,frozen raspberries,340.0
2083,pasta,227.0
2084,black pepper,0.6
2085,crushed red pepper,0.2
2086,nutmeg,1.1
2087,lemon,58.0
2088,vegetable shortening,13.0
2089,canned artichoke hearts,369.0
2090,fresh parsley,60.0
2091,pearl couscous,259.5
2092,English cucumber,300.0
2093,parsley,30.0
2094,feta cheese,85.0
2095,Lacinato Kale,113.0
2096,vegetable broth,360.0
2097,feta cheese,28.0
2098,red wine vinegar,7.5
2099,Cannellini beans,850.0
2100,red onion,40.0
