rowid,query,grams
2751,chopped cooked chicken,210.0
2752,frozen roasted corn kernels,150.0
2753,diced green chiles,113.4
2754,shredded cheese,113.4
2755,8-inch tortillas,0.0
2756,frozen corn,226.8
2757,taco seasoning,28.35
2758,salt,1.5
2759,small corn tortillas,0.0
2760,avocado,150.0
2761,shredded monterrey jack cheese,113.4
2762,delicata squash,302.4
2763,Italian seasoning blend,0.5
2764,eggplant,900.0
2765,crushed tomatoes,793.8
2766,sweet potatoes,1133.98
2767,poblano peppers,200.0
2768,red onion,27.5
2769,poblano pepper,100.0
2770,jalapeño pepper,14.0
2771,tahini,60.0
2772,olive oil,33.75
2773,plain yogurt,122.5
2774,potatoes,907.18
2775,radishes,907.18
2776,olive oil,20.25
2777,roasted red peppers,170.1
2778,feta,85.05
2779,pitas,0.0
2780,baby spinach,180.0
2781,roasted red peppers,340.2
2782,spaghetti squash,589.67
2783,zucchini,566.99
2784,yellow squash,226.8
2785,red onion,226.8
2786,fresh parsley,15.0
2787,sweet potatoes,680.39
2788,frozen corn kernels,453.59
2789,red onion,27.5
2790,Italian seasoning,3.4
2791,water,0.0
2792,shredded Italian cheese blend,224.0
2793,fresh parsley,7.6
2794,long grain white rice,277.5
2795,large flour tortillas,0.0
2796,shredded cheese,280.0
2797,couscous,346.0
2798,zucchini,566.99
2799,garlic cloves,12.0
2800,couscous,173.0
