rowid,query,grams
2851,egg,50.0
2852,kale,454.0
2853,spaghetti squash,680.0
2854,Italian ground sausage,227.0
2855,shredded mozzarella,56.5
2856,Parmesan cheese,25.0
2857,carrots,227.0
2858,stewed tomatoes,425.0
2859,cheese tortellini,227.0
2860,green cabbage,454.0
2861,steak seasoning,6.0
2862,cooked rice,316.0
2863,black pepper,2.0
2864,frozen corn kernels,300.0
2865,fresh parsley,10.0
2866,egg,120.0
2867,all-purpose flour,94.0
2868,shredded green cabbage,400.0
2869,oil,27.0
2870,mushrooms,72.0
2871,old-fashioned rolled oats,40.0
2872,spinach,15.0
2873,Greek yogurt,142.0
2874,scallions,30.0
2875,fresh parsley,8.0
2876,fresh cilantro,8.0
2877,green onion,15.0
2878,turmeric,3.0
2879,long grain white rice,370.0
2880,frozen seafood mix,227.0
2881,fresh parsley,10.0
2882,neutral oil,108.0
2883,tahini,15.0
2884,lacinato kale,227.0
2885,red pepper flakes,0.5
2886,neutral salad oil,27.0
2887,soy sauce,51.0
2888,shredded red cabbage,534.0
2889,frozen shelled edamame,130.0
2890,sesame oil,14.0
2891,cooked jasmine rice,632.0
2892,toasted sesame oil,9.0
2893,sesame seeds,3.0
2894,chunk light tuna in water,284.0
2895,BBQ sauce,102.0
2896,pineapple slices in juice,567.0
2897,long grain white rice,185.0
2898,frozen broccoli florets,340.0
2899,seasoning salt,2.0
2900,bread crumbs,15.0
