rowid,query,grams
701,shallot,40.0
702,lemongrass,24.0
703,fish sauce,18.0
704,lime juice,61.5
705,water,177.75
706,fish sauce,54.0
707,thai red chili pepper,5.0
708,carrot,61.0
709,rice vermicelli noodles,226.8
710,butter lettuce,163.0
711,fresh mint,10.0
712,carrot,61.0
713,cucumber,150.0
714,butternut squash,907.2
715,fire roasted diced tomatoes,425.2
716,coconut milk,382.7
717,fresh spinach,56.7
718,salt,3.0
719,butternut squash,1360.8
720,olive oil,54.0
721,dried sage,0.7
722,orecchiette pasta,453.6
723,shredded parmesan,75.0
724,butternut squash,907.2
725,pepper,0.1
726,olive oil,54.0
727,spring mix,100.0
728,goat cheese,28.35
729,spaghetti,226.8
730,salted butter,56.8
731,black pepper,2.3
732,grated parmesan,100.0
733,black pepper,0.575
734,smoked sausage,368.5
735,shredded cabbage,534.0
736,wide egg noodles,226.8
737,butter,28.4
738,hot sauce,14.0
739,russet potatoes,1134.0
740,salt,6.0
741,eggs,100.0
742,celery,80.0
743,parsley,15.0
744,mayonnaise,220.0
745,creole mustard,30.0
746,red wine vinegar,14.9
747,hot sauce,2.5
748,canned salmon,170.1
749,breadcrumbs,27.0
750,stone ground mustard,2.5
