rowid,query,grams
551,thyme,0.8
552,oregano,1.0
553,cayenne pepper,0.5
554,peeled and deveined shrimp,227.0
555,petite diced tomatoes,425.0
556,pasta,227.0
557,green onions,30.0
558,fresh parsley,10.0
559,red wine vinegar,5.0
560,coleslaw mix,170.0
561,green onions,45.0
562,lime,67.0
563,peeled and deveined shrimp,227.0
564,corn tortillas,180.0
565,black pepper,2.0
566,tilapia filets,454.0
567,water,315.0
568,long grain rice,185.0
569,fresh green beans,227.0
570,black pepper,0.3
571,eggs,100.0
572,chili crisp,10.0
573,bacon,227.0
574,mayonnaise,173.0
575,ranch dressing,62.0
576,black pepper,0.6
577,bowtie pasta,340.0
578,fresh spinach,60.0
579,bananas,340.0
580,vanilla extract,3.7
581,baking powder,3.6
582,milk,488.0
583,old fashioned oats,200.0
584,frozen blueberries,227.0
585,all-purpose flour,31.0
586,butter,28.0
587,baking powder,14.0
588,baking soda,3.6
589,white sugar,100.0
590,buttermilk,245.0
591,butter,57.0
592,blueberries,74.0
593,all-purpose flour,188.0
594,salt,0.4
595,butter,113.0
596,water,45.0
597,blueberries,227.0
598,cornstarch,3.0
599,lemon,58.0
600,cream cheese,113.0
