rowid,query,grams
3201,chicken broth,1920.0
3202,potatoes,681.0
3203,rice paper wrappers,100.0
3204,red leaf lettuce,150.0
3205,bean threads,56.7
3206,mango,200.0
3207,red bell pepper,120.0
3208,imitation crab meat,226.8
3209,smooth natural peanut butter,64.0
3210,fresh ginger,5.0
3211,sriracha sauce,1.25
3212,hot water,118.0
3213,boneless skinless chicken breasts,681.0
3214,sriracha hot sauce,80.0
3215,fresh ginger,10.0
3216,panko breadcrumbs,90.0
3217,salt,0.75
3218,sriracha,22.5
3219,cilantro,2.0
3220,large flour tortillas,120.0
3221,spinach,60.0
3222,carrot,61.0
3223,bell pepper,60.0
3224,ground cumin,0.25
3225,Sriracha,30.0
3226,cooking oil,28.0
3227,popcorn kernels,66.0
3228,nutritional yeast,3.0
3229,fresh peaches,1362.0
3230,sriracha hot sauce,15.0
3231,butter,113.0
3232,extra sharp cheddar,226.8
3233,sriracha,45.0
3234,roasted red peppers,150.0
3235,green onion,15.0
3236,chicken wings,908.0
3237,chili garlic sauce,15.0
3238,fresh ginger,6.0
3239,boneless skinless chicken thighs,794.5
3240,chili garlic sauce,30.0
3241,rice noodles,226.8
3242,green onions,60.0
3243,cilantro,10.0
3244,frozen strawberries,113.5
3245,Rosé wine,240.0
3246,fresh strawberries,454.0
3247,heavy whipping cream,480.0
3248,strawberries,166.0
3249,white chocolate chips,85.0
3250,milk,15.0
