rowid,query,grams
1451,chia seeds,24.0
1452,cocoa powder,10.0
1453,mini chocolate chips,45.0
1454,milk,325.0
1455,canned peas,1275.0
1456,bacon,85.0
1457,thin pizza crust,200.0
1458,steak seasoning,8.75
1459,smoked sausage,227.0
1460,frozen seasoning mix,283.0
1461,chicken broth,360.0
1462,Creole seasoning,1.0
1463,apples,907.0
1464,all-purpose flour,8.0
1465,ground ginger,0.5
1466,ground cloves,0.2
1467,rolled oats,30.0
1468,butter,57.0
1469,brown sugar,39.0
1470,brie wheel,227.0
1471,boneless skinless chicken thighs,454.0
1472,BBQ sauce,72.0
1473,coleslaw mix,198.0
1474,buns,200.0
1475,garam masala,12.0
1476,fresh ginger,5.0
1477,frozen cauliflower florets,340.0
1478,canned chickpeas,250.0
1479,tomato sauce,425.0
1480,long grain rice,370.0
1481,frozen broccoli florets,454.0
1482,cayenne pepper,0.2
1483,Brussels sprouts,454.0
1484,sweet potato,567.0
1485,cooking oil,42.0
1486,boneless skinless chicken breast,590.0
1487,steak seasoning,10.0
1488,sweet paprika,1.0
1489,all-purpose flour,312.5
1490,heavy whipping cream,473.0
1491,cinnamon,12.0
1492,milk chocolate chips,85.0
1493,powdered sugar,150.0
1494,cocoa powder,5.0
1495,vanilla wafers,180.0
1496,butter,85.0
1497,lemons,150.0
1498,boneless skinless chicken breasts,590.0
1499,lemon pepper seasoning,6.0
1500,sharp cheddar,227.0
