rowid,query,grams
2151,pesto,120.0
2152,lemon,150.0
2153,ham,56.7
2154,bell pepper,75.0
2155,onion,40.0
2156,rolled oats,106.4
2157,ground flaxseed,28.0
2158,hulled hemp seeds,44.0
2159,chia seeds,24.0
2160,salt,0.4
2161,water,632.0
2162,sweetener,12.0
2164,russet potatoes,907.0
2165,cooking oil,56.0
2166,seasoning salt,6.0
2167,frozen mango chunks,227.0
2168,lite coconut milk,368.0
2169,chia seeds,72.0
2170,jasmine rice,277.5
2171,corn starch,2.6
2172,firm tofu,397.0
2173,neutral oil,28.0
2174,avocado,200.0
2175,mangoes,400.0
2176,canned pineapple,567.0
2177,cider vinegar,119.0
2178,garam masala,5.4
2179,raisins,36.0
2180,ground turkey,539.0
2181,olive oil,108.0
2182,red wine vinegar,60.0
2183,black pepper,0.6
2184,sliced black olives,63.8
2185,banana pepper rings,170.0
2186,red onion,53.0
2187,parsley,30.0
2188,feta,56.7
2189,button mushrooms,454.0
2190,fresh thyme,5.0
2191,portobello mushroom caps,227.0
2192,red onion,50.0
2193,butter beans,850.0
2194,vegetable oil,14.0
2195,chicken breast,340.0
2196,chicken broth,1422.0
2197,fresh dill,5.0
2198,vegetable oil,42.0
2199,matzo meal,120.0
2200,bouillon,12.0
