rowid,query,grams
451,fresh parsley,15.0
452,ground beef,226.796
453,salt,10.5
454,yellow onion,110.0
455,oregano,0.9
456,ground cumin,0.525
457,worcestershire sauce,5.2
458,diced tomatoes,425.0
459,chickpeas,250.0
460,rice,370.0
461,water,709.8
462,salted butter,28.4
463,red pepper flakes,0.1125
464,ground beef,226.796
465,garlic,3.0
466,rice,632.0
467,salsa,453.592
468,green onions,60.0
469,chili powder,4.0
470,cream cheese,113.4
471,shredded cheddar,113.0
472,zucchini,196.0
473,yellow squash,196.0
474,red onion,82.5
475,salt,1.0
476,red onion,27.5
477,fresh parsley,7.6
478,ground cumin,0.525
479,ground cinnamon,0.325
480,ground cloves,0.25
481,fresh parsley,7.6
482,worcestershire sauce,7.8
483,extra wide egg noodles,226.796
484,tomato sauce,425.0
485,fire roasted diced tomatoes,250.0
486,sour cream,226.796
487,medium cheddar,226.796
488,green onions,60.0
489,jalapeno,14.0
490,chili powder,4.0
491,pineapple chunks,212.5
492,fresh cilantro,4.0
493,corn tortillas,360.0
494,vegetable oil,27.2
495,all-purpose flour,15.6
496,chili powder,16.0
497,tomato paste,85.0
498,cayenne pepper,0.3375
499,unsweetened cocoa powder,5.0
500,salt,6.0
