rowid,query,grams
201,old-fashioned rolled oats,80.0
202,dried cranberries,20.0
203,chopped walnuts,30.0
204,maple syrup,40.0
205,sweet potatoes,907.0
206,smoked paprika,0.6
207,tahini,60.0
208,kale,360.0
209,apple,223.0
210,pepitas,35.0
211,chopped pecans,25.0
212,dried cranberries,40.0
213,quinoa,85.0
214,almond butter,32.0
215,water,45.0
216,ground turmeric,0.5
217,sugar,4.0
218,black pepper,0.3
219,baby greens,80.0
220,Granny Smith apple,182.0
221,pita pocket,30.0
222,baby spinach,30.0
223,avocado,50.0
224,sriracha hot sauce,15.0
225,salt,1.5
226,dry navy beans,454.0
227,bacon,170.0
228,carrots,180.0
229,celery,120.0
230,potatoes,907.0
231,chicken broth,1440.0
232,tomato sauce,227.0
233,bacon,85.0
234,pineapple chunks in juice,227.0
235,brown sugar,13.0
236,pizza dough,450.0
237,pizza sauce,130.0
238,shredded Monterrey Jack cheese,113.0
239,green onions,30.0
240,bacon,224.0
241,ground turkey,454.0
242,ranch seasoning mix,24.0
243,cheese slices,84.0
244,hamburger buns,180.0
245,tomato,123.0
246,lettuce,60.0
247,mayonnaise,60.0
248,mushrooms,227.0
249,butter,56.0
250,pearled barley,200.0
