rowid,query,grams
3551,cayenne pepper,0.5
3552,refried beans,960.0
3553,shredded pepper jack cheese,226.8
3554,avocado,100.0
3555,fresh cilantro,15.0
3556,Italian sausage,226.8
3557,canned great northern beans,850.5
3558,frozen chopped spinach,113.4
3559,marinara sauce,500.0
3560,canned butter beans,850.5
3561,fresh parsley,60.0
3562,garlic cloves,3.0
3563,red pepper flakes,0.4
3564,lemon juice,23.6
3565,pizza dough,450.0
3566,wild rice blend,96.0
3567,elbow macaroni,280.0
3568,evaporated milk,196.0
3569,cayenne pepper,0.4
3570,shredded sharp cheddar,170.0
3571,sweet potato,150.0
3572,curly kale,200.0
3573,apple cider vinegar,14.9
3574,canned cannellini beans,850.5
3575,jasmine rice,370.0
3576,bay leaves,0.6
3577,bone-in skin-on chicken thighs,600.0
3578,jasmine rice,277.5
3579,frozen peas,210.0
3580,chicken broth,600.0
3581,boneless skinless chicken breasts,589.7
3582,yuca,453.6
3583,kosher salt,24.0
3584,olive oil,133.4
3585,distilled white vinegar,79.2
3586,black peppercorns,1.2
3587,adobo seasoning,5.0
3588,yellow onion,150.0
3589,garlic cloves,24.0
3590,sliced spanish olives,35.0
3591,olive brine,31.5
3592,sun dried tomato sauce,250.0
3593,grated parmesan,25.0
3594,fresh cilantro,30.0
3595,zucchini,200.0
3596,frozen cheese ravioli,567.0
3597,Italian sausage,226.8
3598,zucchini,907.2
3599,bacon strips,56.0
3600,large eggs,250.0
