rowid,query,grams
751,oregano,0.25
752,thyme,0.25
753,onion powder,0.35
754,cayenne pepper,0.15
755,black pepper,0.15
756,butter,7.1
757,guacamole,60.0
758,spring mix,30.0
759,andouille sausage,397.0
760,bell pepper,120.0
761,long grain white rice,185.0
762,chicken broth,360.0
763,zucchini,227.0
764,yellow squash,227.0
765,red bell pepper,120.0
766,red onion,110.0
767,fresh parsley,8.0
768,banana,118.0
769,flour tortilla,30.0
770,peanut butter,16.0
771,cinnamon,0.3
772,instant yeast,0.8
773,water,177.0
774,yellow onions,330.0
775,Italian seasoning,3.0
776,frozen spinach,113.0
777,artichoke hearts,106.0
778,feta cheese,57.0
779,all-purpose flour,42.0
780,baking powder,2.3
781,salt,1.5
782,cinnamon,1.3
783,nutmeg,0.5
784,ground ginger,0.23
785,brown sugar,55.0
786,vanilla extract,1.1
787,vegetable oil,27.0
788,carrot,61.0
789,cream cheese,28.0
790,butter,14.2
791,powdered sugar,60.0
792,carrots,907.0
793,salt,1.5
794,feta cheese,38.0
795,carrots,454.0
796,olive oil,27.0
797,ground cumin,3.0
798,black pepper,0.6
799,orzo,200.0
800,fresh parsley,20.0
