rowid,query,grams
851,dried rosemary,1.0
852,frozen peas and carrots,268.0
853,frozen corn,134.0
854,gnocchi,454.0
855,frozen chopped greens,227.0
856,pasta sauce,680.0
857,hickory bacon,113.0
858,salted butter,42.6
859,all-purpose flour,23.4
860,whole milk,488.0
861,garlic powder,0.7
862,black pepper,0.6
863,vintage cheddar,170.0
864,mild cheddar,57.0
865,french fried onions,28.0
866,pinto beans,850.0
867,hot sauce,1.0
868,shredded cheddar cheese,56.0
869,sliced mushrooms,227.0
870,pasta sauce,680.0
871,fresh spinach,113.0
872,rigatoni,227.0
873,whole milk ricotta,227.0
874,shredded monterey jack,113.0
875,sour cream,61.0
876,scallions,30.0
877,cilantro,4.0
878,chili powder,1.3
879,jalapenos,180.0
880,diced tomatoes,425.0
881,kidney beans,425.0
882,frozen corn kernels,134.0
883,macaroni noodles,226.0
884,shredded sharp cheddar,113.0
885,bone-in chicken,1814.0
886,soy sauce,134.0
887,apple cider vinegar,118.0
888,bay leaves,0.4
889,minced garlic,8.5
890,black peppercorns,6.0
891,boneless skinless chicken breasts,590.0
892,italian seasoning,2.0
893,garlic,12.0
894,grated parmesan,75.0
895,chopped parsley,3.8
896,fettuccine,227.0
897,boneless skinless chicken breasts,590.0
898,grated parmesan cheese,5.0
899,italian seasoning,0.5
900,black pepper,1.2
