rowid,query,grams
3451,yogurt,326.67
3452,bananas,236.0
3453,pineapple chunks in juice,567.0
3454,shredded coconut,20.0
3455,salt,4.5
3456,mini shell pasta,340.2
3457,chunk light tuna,284.0
3458,pasta,453.6
3459,minced garlic,12.0
3460,chunk tuna,142.0
3461,white beans,425.0
3462,chunk light tuna in water,142.0
3463,green onions,30.0
3464,ground turkey,226.8
3465,tomato paste,85.0
3466,salt,3.0
3467,sweet potatoes,1360.8
3468,cilantro,10.0
3469,apples,364.0
3470,salt,2.0
3471,french bread,400.0
3472,chicken base,6.0
3473,bone-in turkey pieces,2721.6
3474,chicken breast,907.2
3475,linguine,226.8
3476,grape tomatoes,340.0
3477,black pepper,0.6
3478,baby spinach,113.4
3479,shredded parmesan,85.0
3480,cooked chicken,195.0
3481,shredded cheddar,226.0
3482,BBQ Sauce,140.0
3483,flour tortillas,650.0
3484,portobello mushroom,100.0
3485,shredded mozzarella,113.4
3486,parsley,10.0
3487,beef broth,354.0
3488,tomato sauce,226.8
3489,dry red beans,453.6
3490,vegetable broth,1416.0
3491,black pepper,0.9
3492,green onions,100.0
3493,split peas,453.6
3494,salt,9.0
3495,carrots,180.0
3496,frozen broccoli cauliflower,226.8
3497,whole milk,976.0
3498,grated parmesan,66.0
3499,elbow pasta,453.6
3500,shredded gouda,113.0
