rowid,query,grams
401,flour tortillas,360.0
402,BBQ sauce,198.0
403,shredded monterrey jack cheese,226.0
404,green onions,45.0
405,red onion,110.0
406,cooked chicken breast,172.0
407,frozen corn kernels,150.0
408,zucchini,196.0
409,pepper jack cheese,113.0
410,avocado,170.0
411,red onions,220.0
412,fresh pineapple,905.0
413,chicken breasts,589.7
414,cooking oil,27.2
415,sweet paprika,2.1
416,BBQ Sauce,132.0
417,green onions,30.0
418,chicken breast,302.0
419,smoked paprika,1.15
420,garlic powder,0.7
421,salt,0.75
422,pepper,0.3
423,cooking oil,6.8
424,BBQ sauce,66.0
425,pizza dough,453.0
426,BBQ sauce,132.0
427,Monterey jack cheese,113.0
428,jalapeño,14.0
429,red onion,40.0
430,pork ribs,1361.0
431,salt,12.0
432,black pepper,2.3
433,garlic powder,5.6
434,onion powder,4.6
435,smoked paprika,4.6
436,cayenne,3.6
437,ground mustard,4.0
438,chicken broth,720.0
439,BBQ sauce,396.0
440,firm tofu,397.0
441,BBQ Sauce,66.0
442,cabbage slaw mix,227.0
443,BBQ sauce,52.8
444,Buns,129.0
445,ground beef,454.0
446,cabbage,454.0
447,stewed tomatoes,850.0
448,black pepper,2.3
449,beef broth,1440.0
450,lemon,58.0
