rowid,query,grams
2401,sesame seeds,18.0
2402,extra-firm tofu,396.9
2403,vegetable oil,27.2
2404,frozen broccoli florets,226.8
2405,green onions,52.5
2406,bread,180.0
2407,olive oil,54.0
2408,cherry tomatoes,340.0
2409,nectarine,150.0
2410,baby spring mix,283.5
2411,mozzarella pearls,113.4
2412,active dry yeast,6.3
2413,baking soda,60.0
2414,butter,21.3
2415,kale,200.0
2416,pasta,226.8
2417,baby portobello mushrooms,226.8
2418,orzo,400.0
2419,fettuccini,453.592
2420,Italian parsley,60.0
2421,grated parmesan,50.0
2422,fresh parsley,60.0
2423,pasta,453.592
2424,eggs,250.0
2425,Italian parsley,60.0
2426,grated parmesan,50.0
2427,salt,1.0
2428,pasta,453.592
2429,potatoes,680.388
2430,Italian parsley,30.0
2431,bulgur,270.0
2432,dried apricots,70.0
2433,vegetable oil,27.2
2434,salt,3.0
2435,lemon,58.0
2436,garlic cloves,3.0
2437,green onions,30.0
2438,pumpkin puree,245.0
2439,chicken broth,240.0
2440,chili powder,0.5
2441,cayenne pepper,0.1
2442,half and half,30.0
2443,black pepper,1.0
2444,lemon,30.0
2445,anchovy filets,15.0
2446,kalamata olives,67.0
2447,capers,20.0
2448,spaghetti,453.592
2449,Italian sausage,226.796
2450,penne pasta,226.796
