rowid,query,grams
351,dried parsley,1.0
352,dried oregano,0.5
353,dried basil,0.5
354,onion powder,0.6
355,ripe bananas,170.0
356,vanilla extract,2.1
357,all-purpose flour,125.0
358,ground flaxseed,25.5
359,chopped walnuts,29.5
360,farro,98.0
361,milk,122.0
362,brown sugar,2.5
363,banana,118.0
364,chopped walnuts,14.8
365,carrots,122.0
366,onion,110.0
367,rice vinegar,119.0
368,white sugar,50.0
369,water,118.0
370,ground pork,454.0
371,plain breadcrumbs,30.0
372,fresh ginger,12.0
373,soy sauce,7.5
374,jasmine rice,1080.0
375,cucumber,200.0
376,jalapeños,28.0
377,cilantro,25.0
378,yellow onion,70.0
379,black beans,425.0
380,pinto beans,425.0
381,BBQ sauce,140.0
382,smoked paprika,1.2
383,coleslaw mix,198.0
384,green onions,30.0
385,mayonnaise,75.0
386,red wine vinegar,5.0
387,lean ground beef,227.0
388,small onion,70.0
389,shredded cabbage,280.0
390,tomato sauce,226.0
391,Worcestershire sauce,17.0
392,shredded cheddar,56.0
393,green onion,10.0
394,russet potatoes,908.0
395,vegetable oil,4.5
396,shredded beef,140.0
397,bbq sauce,105.0
398,shredded cheddar,28.0
399,green onion,10.0
400,sour cream,30.0
