rowid,ingredient
1051,½ tsp dried oregano
1052,2 15oz. cans chickpeas
1053,"1/2 cup fresh cilantro, packed"
1054,1 tsp dried oregano*
1055,1 cup warm water
1056,1 cup quinoa
1057,1 cup chopped parsley
1058,1/2 cup chopped cilantro
1059,1 tsp chipotle powder*
1060,3/4 lb. chicken breast
1061,1 32oz. bottle V8 juice
1062,1 15oz. can diced tomato
1063,1/2 4oz. can chipotle peppers in adobo sauce (up to)
1064,2 lbs sweet potatoes (about 2 medium)
1065,2 Tbsp milk
1066,2 peppers chipotle peppers in adobo
1067,to taste salt and pepper
1068,2 lbs. ripe peaches
1069,2 chipotle peppers in adobo
1070,½ tsp salt
1071,1/2 tsp chipotle powder
1072,1 15oz. can pumpkin purée
1073,1/4 cup heavy cream
1074,1 lb. sweet potato
1075,1 whole chipotle pepper in adobo sauce
1076,"1/2 cup cornmeal, divided"
1077,1 Tbsp cooking oil (for frying)
1078,4 wheat rolls
1079,1/4 cup mayonnaise (optional)
1080,2 cups old-fashioned rolled oats
1081,1/3 cup shredded coconut
1082,3 Tbsp unsweetened cocoa powder
1083,2 Tbsp water
1084,1 1/2 cups whole wheat flour
1085,1 3/4 cups all-purpose flour
1086,1 1/4 tsp salt
1087,1 packet 2 1/4 tsp instant or bread machine yeast
1088,1 Tbsp cinnamon
1089,1 - 1 1/2 cups water
1090,1/2 cup chocolate chips
1091,1 whole + 1 yolk large eggs
1092,2 Tbsp white sugar
1093,4 Tbsp + 1 tsp butter
1094,1/3 cup semi-sweet chocolate
1095,"2 Tbsp flour, divided"
1096,"8 oz dark or semi-sweet chocolate*, chopped"
1097,"1 pint heavy whipping cream, very cold"
1098,"3 egg whites, room temperature"
1099,1/2 cup powdered sugar or sugar substitute
1100,2 links 8 oz. Mexican Chorizo
