rowid,ingredient
1801,3-4 Tbsp brown sugar
1802,5 boneless skinless chicken thighs (about 1/3 lb. each)
1803,1/2 Tbsp Italian seasoning herb blend
1804,"handful fresh parsley, chopped (optional garnish)"
1805,1.5 lbs. baby potatoes
1806,1 tsp salt (to salt water for boiling)
1807,2 Tbsp chopped fresh basil
1808,"1 green onion, chopped"
1809,1/4 cup natural-style peanut butter
1810,1/2 Tbsp neutral cooking oil**
1811,"1/2 lb. ground pork, chicken or turkey"
1812,1 large carrot
1813,1/3 cup hoisin sauce
1814,4 cups cooked rice $0.88
1815,"1/4 cup peanuts, chopped"
1816,1/2 cup hoisin sauce
1817,1 cup cooked rice
1818,"1 tsp dried sage, divided"
1819,"12 oz. seasoning mix (frozen chopped onion, bell pepper, celery)"
1820,1 1/2 cups wild rice mix
1821,"5 cups water, divided"
1822,1 Tbsp chicken base/bouillon
1823,3 sprigs fresh thyme
1824,1/3 cup Greek Yogurt
1825,3 anchovy filets (packed in oil)
1826,2 Tbsp Dijon mustard
1827,2 tsp Active Dry or instant yeast
1828,2 cups all-purpose flour (plus some for dusting)
1829,1 cup shredded cheese*
1830,"8 Tbsp salted butter, room temperature"
1831,1 Tbsp dried parsley
1832,1 loaf French bread
1833,1/4 tsp garlic powder*
1834,2 Tbsp grated Parmesan**
1835,1/4 cup plain yogurt*
1836,3/16 tsp garlic powder**
1837,"1 Tbsp finely chopped fresh parsley, loosely packed"
1838,"1 green onion, finely chopped"
1839,1/8 tsp sugar (optional)
1840,1 Tbsp milk (optional)***
1841,2 medium 1.5 lbs. chicken breasts
1842,3 Tbsp honey
1843,3 chipotle peppers in adobo sauce
1844,2 Tbsp lime juice (about one lime)
1845,2 sliced green onions (optional)
1846,1 Tbsp yellow mustard
1847,1/8 tsp paprika
1848,1 large crown Broccoli (about 5 cups chopped)
1849,1/4 red onion (about 1/2 cup diced)
1850,1/3 cup slivered almonds
