rowid,ingredient
51,1 Tbsp olive oil
52,4 cloves garlic
53,1 Tbsp grated fresh ginger
54,1 sweet potato (about 1 lb.)
55,1 medium onion
56,1 tsp cumin
57,1/4 tsp crushed red pepper
58,1 6oz. can tomato paste
59,1/2 cup natural style peanut butter
60,6 cups vegetable broth
61,1/2 bunch collard greens (4-6 cups chopped)
62,1/4 bunch cilantro
63,4.5 cups cooked brown rice
64,1/3 cup chopped peanuts
65,1/2 cup flour
66,1/3 cup unsweetened cocoa powder
67,1 cup granulated sugar
68,1/8 tsp salt
69,1/8 tsp cayenne pepper
70,1/8 tsp baking powder
71,1/4 tsp cinnamon
72,2 large eggs
73,1 tsp vanilla
74,"4 Tbsp butter, melted"
75,1 tsp butter (for greasing the muffin tin)
76,2 cups all-purpose flour
77,1 tsp baking powder
78,1 cup sugar
79,"4 Tbsp butter, room temperature"
80,1/2 tsp vanilla extract
81,1 tsp almond extract
82,1/4 tsp nutmeg
83,1/3 cup sliced almonds
84,1/3 cup dried apricots (about 8 pieces)
85,3 large eggs
86,2/3 cup milk
87,2/3 cup all-purpose flour
88,1 Tbsp sugar
89,1/4 tsp almond extract
90,1/4 tsp vanilla extract
91,2 Tbsp sliced almonds
92,1/2 cup ricotta
93,1/2 Tbsp sugar
94,1/4 cup jam (raspberry or your favorite flavor)
95,"5 Tbsp butter, divided"
96,2 English muffins
97,"3 large eggs, divided"
98,2 thick slices ham
99,1 Tbsp water
100,1 lemon (or about 1/2 Tbsp juice)*
