rowid,ingredient
701,1/4 cup chopped shallot
702,4 Tbsp minced lemongrass
703,1 Tbsp fish sauce
704,1/4 cup lime juice (about 2 limes)
705,3/4 cup water
706,3 Tbsp fish sauce
707,1 Thai red chili pepper
708,"1 carrot, thinly sliced"
709,8 oz. rice vermicelli noodles
710,1 head butter lettuce
711,1 handful fresh mint
712,"1 carrot, sliced"
713,"1/2 cucumber, sliced"
714,2 lbs. butternut squash (about 4 cups diced)
715,1 15oz. can fire roasted diced tomatoes
716,1 13.5oz can full-fat coconut milk
717,2 oz. fresh spinach
718,1/2 tsp salt (or to taste)
719,1 3 lb. butternut squash
720,"4 Tbsp olive oil, divided"
721,1 tsp dried sage
722,1 lb. pasta (orecchiette)
723,3/4 cup shredded parmesan
724,2 lbs. butternut squash
725,1 pinch pepper
726,1/4 cup olive oil
727,4 cups spring mix
728,1 oz. goat cheese
729,1/2 lb dry spaghetti
730,"4 Tbsp salted butter, divided*"
731,"1 tsp coarsely ground black pepper plus more for garnish*,"
732,"1 cup Parmesan, grated, plus more for garnish*,"
733,freshly cracked pepper (about 1/4 tsp)
734,13 oz. smoked sausage*
735,6 cups shredded cabbage (1/2 of a 2.5 lb. head)
736,8 oz. wide egg noodles
737,2 Tbsp butter (or more to taste)
738,hot sauce to taste
739,2.5 lbs. russet potatoes
740,1 tsp salt (for cooking water)
741,2 large hard boiled eggs
742,2 stalks celery
743,1/4 cup chopped parsley
744,1 cup mayonnaise
745,2 Tbsp Creole mustard (or spicy brown mustard)
746,1 Tbsp red wine vinegar
747,1/2 tsp hot sauce
748,"6 oz. Canned Salmon (boneless, skinless)"
749,1/4 cup breadcrumbs
750,1/2 tsp stone ground mustard
