rowid,ingredient
1851,"1 large, about 3/4 lb. chicken breast"
1852,1 1/2 Tbsp honey
1853,1 Tbsp dijon mustard
1854,1/2 tsp apple cider vinegar
1855,"2 large chicken breasts, about 1.5 lbs."
1856,1/3 cup honey
1857,"1/4 cup mustard, any variety"
1858,2 cups Panko breadcrumbs
1859,2 lbs. chicken wings or drumettes
1860,3 Tbsp cornstarch
1861,1/2 Tbsp yellow mustard
1862,1 1/2 Tbsp Honey
1863,1/16 tsp paprika
1864,1/16 tsp salt
1865,1/8 tsp pepper
1866,8 chicken thighs (about 4 lbs)
1867,1 Tbsp cider vinegar
1868,1/2 Tbsp garlic powder
1869,6 boneless skinless chicken thighs (2 lbs)
1870,2 Tbsp sriracha hot sauce
1871,1 1/2 Tbsp soy sauce
1872,2 Tbsp corn starch
1873,1/4 bunch cilantro or green onions
1874,2 tsp instant or active dry yeast
1875,1/2 cup raw sunflower seeds
1876,1 1/2 to 2 cups all-purpose flour
1877,"1 large egg, optional"
1878,"1 1/2-2 cups all purpose flour, divided"
1879,2 tsp yeast
1880,"12 Tbsp butter, divided"
1881,1 cup honey
1882,1 1/4 cup sour cream
1883,1 cup cornmeal
1884,1 Tbsp canola oil
1885,1/4 red cabbage
1886,1/2 Tbsp soy sauce (or more to taste)
1887,1.5-2 Tbsp rice vinegar
1888,1 Tbsp chili garlic sauce or sambal olek
1889,14 oz. block extra firm tofu
1890,1 cup uncooked semi-pearled farro
1891,4 cups cold water
1892,1 cup old-fashioned rolled oats (NOT quick oats)
1893,1 bunch fresh cilantro
1894,1 6oz. box stuffing mix
1895,"2.5 lb. bone-in, skin on turkey breast"
1896,3/4 lb. sweet potato
1897,1.5 Tbsp butter
1898,1/2 lb. Brussels sprouts
1899,1/8 tsp each salt and pepper
1900,1 lb. russet potato
