rowid,ingredient
501,1 bunch cauliflower
502,1/2 tsp chicken bouillon
503,1/2 cup red wine* or beef broth
504,1 28oz. can diced tomatoes
505,1 whole bay leaf
506,2 Tbsp soy sauce
507,1 tsp salt (optional)
508,2 tsp brown sugar
509,2 cups pre-cooked shredded beef
510,12 oz beer
511,1 xlg bouillon cube (makes 2 cups)
512,1 lb chopped collard greens
513,1/2 tsp red pepper flakes
514,cracked black pepper to taste
515,1/2 Tbsp olive oil
516,"1 8"" flour tortilla"
517,1/2 cup grape tomatoes
518,1/8 tsp crushed red pepper (optional)
519,4 cups cooked jasmine rice
520,1/2 Tbsp cooking oil
521,"6 cups fresh spinach, loosely packed"
522,1 tsp toasted sesame oil
523,Pinch of salt
524,2 Tbsp chili garlic sauce
525,1/4 cup kimchi
526,1 Tbsp sesame seeds
527,1/2 Tbsp Dijon mustard
528,8 oz. penne pasta
529,8 oz. chopped kale*
530,1 15oz. can chickpeas
531,1/2 cup grated Parmesan
532,2 15oz. cans black beans
533,1/4 red onion
534,1/4 bunch fresh cilantro*
535,1 Tbsp sriracha
536,1 Tbsp mayonnaise
537,1 tsp ground cumin
538,1/4 tsp pepper
539,1 cup plain breadcrumbs
540,1/2 head green cabbage*
541,2 Tbsp high smoke point cooking oil
542,Pinch of salt and pepper
543,1/4 cup mayonnaise
544,1/4 tsp chipotle powder
545,1 tsp dried thyme
546,1/4 tsp cayenne
547,1/2 tsp onion powder
548,1.3 lbs. salmon
549,1.3 lbs. zucchini
550,1 Tbsp smoked paprika
