rowid,ingredient
751,1/4 tsp oregano
752,1/4 tsp thyme
753,1/8 tsp onion powder
754,1 pinch cayenne (or to taste)
755,1 pinch freshly cracked pepper
756,1/2 Tbsp butter
757,1/4 cup guacamole
758,1 cup spring mix
759,14 oz. Andouille sausage*
760,1 bell pepper
761,1 cup long grain white rice
762,1.5 cups chicken broth
763,1 zucchini (½ lb.)
764,1 yellow squash (½ lb.)
765,1 red bell pepper
766,1 red onion
767,2 Tbsp chopped fresh parsley
768,1 ripe banana
769,1 small flour tortilla
770,1 Tbsp peanut butter
771,1 dash cinnamon
772,1/4 tsp instant yeast
773,3/4-1 cup water
774,3 yellow onions
775,1/2 Tbsp Italian seasoning blend
776,1/4 lb. frozen spinach
777,1/2 15oz. can quartered artichoke hearts**
778,2 oz. feta cheese
779,1/3 cup all-purpose flour $0.05
780,1/2 tsp baking powder $0.04
781,1/4 tsp salt $0.02
782,1/2 tsp cinnamon $0.05
783,1/4 tsp nutmeg $0.03
784,1/8 tsp ground ginger
785,1/4 cup brown sugar $0.12
786,1/4 tsp vanilla extract $0.07
787,2 Tbsp vegetable oil $0.08
788,1 medium carrot $0.14
789,1 oz . cream cheese $0.22
790,1 Tbsp butter $0.07
791,1/2 cup powdered sugar $0.13
792,2 lbs. carrots
793,Salt and Pepper to taste
794,1/4 cup crumbled feta cheese
795,1 lb carrots
796,"2 Tbsp olive oil, divided"
797,1/2 Tbsp ground cumin
798,freshly ground pepper to taste
799,1 cup uncooked orzo
800,1/3 bunch fresh parsley
